x,sigxjminusxi
6.0,0.10443268
12.0,0.66250265
25.0,1.2018592
44.0,1.7403889
78.0,2.2378979
129.0,2.735384
214.0,3.2738714
315.0,3.8123593
455.0,4.3508472
620.0,4.8893347
821.0,5.427822
1035.0,5.9665556
1277.0,6.5187106
1557.0,7.0708656
1841.0,7.6230206
2171.0,8.174527
2529.0,8.713015
2918.0,9.251502
3367.0,9.789989
3863.0,10.328477
4359.0,10.866964
4855.0,11.405452
5351.0,11.945306
5847.0,12.485162
6566.0,13.025016
7285.0,13.56487
8004.0,14.104724
8766.0,14.645945
9571.0,15.187166
10492.0,15.728388
11413.0,16.26961
12433.0,16.81083
13551.0,17.35205
14742.0,17.893272
16006.0,18.434494
17342.0,18.975716
18775.0,19.516937
20305.0,20.058159
21968.0,20.59938
23763.0,21.140598
25665.0,21.68182
27674.0,22.223042
29789.0,22.764263
32070.0,23.305485
2.0,0.57341087
7.0,0.95937145
15.0,1.3486247
23.0,2.4021492
38.0,2.8409157
53.0,3.2796853
71.0,4.3347936
98.0,5.389901
126.0,6.445009
158.0,7.511051
192.0,8.577093
226.0,9.643135
265.0,10.709177
312.0,11.775219
367.0,12.841261
435.0,13.907301
506.0,14.973343
577.0,16.039385
655.0,17.105427
737.0,18.171469
838.0,19.154097
940.0,20.031944
1042.0,20.909792
1151.0,21.359486
1263.0,21.915304
1380.0,22.296907
1500.0,23.378885
1622.0,24.46246
1759.0,24.857727
1896.0,25.428604
2066.0,25.811285
2269.0,26.193966
2481.0,26.578014
2702.0,26.962063
2931.0,27.346111
3215.0,27.735626
3554.0,28.125116
3938.0,28.513266
4366.0,28.90278
4837.0,29.292297
5351.0,29.681812
5908.0,30.071327
6520.0,30.460842
7186.0,30.850357
1.0,0.6394997
3.0,1.4336722
8.0,2.2144825
21.0,2.3148882
34.0,3.0369382
47.0,3.7589922
87.0,3.853986
141.0,3.9482899
198.0,4.045392
271.0,4.1424294
352.0,4.2394667
440.0,4.336504
528.0,4.4335413
621.0,4.5305786
716.0,4.627616
811.0,4.7246513
909.0,4.8216887
1009.0,4.918726
1109.0,5.0157633
1209.0,5.112801
1312.0,5.2955713
1415.0,5.5843506
1518.0,5.87313
1625.0,6.594425
1736.0,7.215821
1849.0,8.014937
1975.0,8.121294
2105.0,8.228135
2238.0,9.0245
2374.0,9.643198
2512.0,10.452296
2653.0,11.2613945
2796.0,12.07596
2951.0,12.890526
3118.0,13.706393
3296.0,14.5223255
3475.0,15.338259
3655.0,16.158264
3854.0,16.977808
4072.0,17.794838
4315.0,18.610771
4582.0,19.426693
4873.0,20.242453
5184.0,21.061802
1.0,0.11631538
2.0,0.27104914
3.0,0.43065256
4.0,0.590428
5.0,0.750334
6.0,0.91024005
7.0,1.0701463
8.0,1.2300526
10.0,1.3899589
13.0,1.5498651
17.0,1.7097714
21.0,1.8696777
25.0,2.029584
30.0,2.18949
35.0,2.3493962
40.0,2.5093026
45.0,2.6692088
50.0,2.829115
55.0,2.989021
60.0,3.1489272
65.0,3.3088334
70.0,3.4687395
77.0,3.6286457
84.0,3.7885523
95.0,3.9484584
110.0,4.1083646
129.0,4.268271
150.0,4.4281774
173.0,4.5880837
200.0,4.74799
231.0,4.9078965
268.0,5.0678024
311.0,5.227709
359.0,5.387615
412.0,5.5475216
470.0,5.707428
536.0,5.8673344
609.0,6.0272408
687.0,6.187147
769.0,6.3470526
855.0,6.506959
944.0,6.6668653
1036.0,6.8267717
1137.0,6.986678
1.0,0.031647604
2.0,0.06491716
3.0,0.09869301
4.0,0.13249344
5.0,0.16629386
6.0,0.20009428
7.0,0.23389472
10.0,0.26561338
13.0,0.30211067
16.0,0.33860797
19.0,0.37510526
22.0,0.41160256
25.0,0.44809985
28.0,0.48459715
31.0,0.5211175
35.0,0.55781937
39.0,0.5945213
43.0,0.6312232
47.0,0.6679251
51.0,0.70466363
55.0,0.74140215
60.0,0.77793604
65.0,0.81446993
70.0,0.85136807
78.0,0.8882047
88.0,0.9247386
100.0,0.9616309
113.0,0.9985322
127.0,1.0354337
146.0,1.0723351
169.0,1.1092366
195.0,1.1461378
223.0,1.1830393
253.0,1.2199408
298.0,1.2568423
358.0,1.2937417
418.0,1.3306412
492.0,1.3607316
581.0,1.3908013
685.0,1.4208691
804.0,1.4509369
928.0,1.4810047
1056.0,1.5110725
1197.0,1.5411403
18.0,6.551154e-07
36.0,0.0012479457
54.0,0.44621766
80.0,0.95057106
106.0,1.5026841
132.0,2.0548096
229.0,2.5591264
385.0,2.5591266
782.0,2.5591266
1288.0,2.5591266
1878.0,2.5591266
2700.0,2.5591266
3642.0,2.5591266
4754.0,2.5591266
5958.0,2.5591266
7322.0,3.0634463
8948.0,3.567766
10574.0,4.0720854
12633.0,4.576405
14692.0,5.0807247
17138.0,5.5850444
19584.0,6.089364
22479.0,6.5936837
25374.0,7.0980034
28477.0,7.602323
32125.0,8.106643
35773.0,8.610962
39665.0,9.115282
43557.0,9.619602
47449.0,10.123922
51482.0,10.6282425
55656.0,11.132561
59830.0,11.636881
64371.0,12.141201
69097.0,12.645521
74007.0,13.149841
78957.0,13.654161
83947.0,14.158482
88976.0,14.662802
94005.0,15.171219
99034.0,15.679639
104330.0,16.183958
109893.0,16.688278
115508.0,17.196697
2.0,0.063228175
5.0,0.12875274
20.0,0.17870182
36.0,0.23063992
65.0,0.27216005
94.0,0.31368935
134.0,0.36631146
177.0,0.42061266
231.0,0.47521666
285.0,0.5298855
344.0,0.58455426
409.0,0.63922304
478.0,0.6938918
551.0,0.7485606
627.0,0.8032294
703.0,0.85789824
779.0,0.912567
855.0,0.9672358
931.0,1.0219046
1023.0,1.0765729
1130.0,1.1298995
1237.0,1.1832261
1344.0,1.2365527
1451.0,1.2905408
1582.0,1.3438429
1737.0,1.3971449
1901.0,1.450447
2074.0,1.503749
2249.0,1.5570511
2426.0,1.6103531
2605.0,1.6636552
2805.0,1.7169574
3026.0,1.772993
3247.0,1.8290285
3468.0,1.885064
3706.0,1.9410995
3961.0,1.997135
4233.0,2.0531707
4505.0,2.1092062
4777.0,2.1652417
5049.0,2.2212772
5321.0,2.2773218
5613.0,2.333774
5924.0,2.3932264
1.0,0.064163364
2.0,0.13227811
3.0,0.20190445
4.0,0.27187118
5.0,0.34204257
6.0,0.41221395
7.0,0.48252368
8.0,0.55447984
16.0,0.62151533
24.0,0.6885521
32.0,0.7555888
40.0,0.8226256
48.0,0.8896623
56.0,0.9566991
65.0,1.0236934
74.0,1.0908105
83.0,1.1579278
92.0,1.225045
101.0,1.2921622
121.0,1.3591315
141.0,1.4261007
161.0,1.49307
185.0,1.5600393
213.0,1.6270086
246.0,1.6939778
279.0,1.7609471
312.0,1.8279164
345.0,1.8948857
380.0,1.9618559
416.0,2.029151
453.0,2.0988045
497.0,2.1677723
547.0,2.2354767
606.0,2.3025756
674.0,2.369563
742.0,2.4385316
810.0,2.5075002
878.0,2.5791945
959.0,2.6488965
1052.0,2.7185988
1156.0,2.7883015
1260.0,2.858004
1364.0,2.9277072
1468.0,3.0001366
2.0,0.043456044
4.0,0.09210361
6.0,0.1415126
8.0,0.19123742
10.0,0.24127802
12.0,0.29131863
14.0,0.34365353
18.0,0.39503777
22.0,0.44937506
26.0,0.5037239
30.0,0.55807954
34.0,0.61243516
38.0,0.6667908
42.0,0.7211464
46.0,0.7755329
52.0,0.82919407
58.0,0.8828553
64.0,0.9365165
70.0,0.99017775
76.0,1.0439686
82.0,1.0977594
88.0,1.1521641
94.0,1.2065688
105.0,1.259881
116.0,1.3133775
127.0,1.3677822
144.0,1.4211117
166.0,1.4744142
193.0,1.5277154
227.0,1.5806917
268.0,1.6313095
313.0,1.6826135
362.0,1.7351804
418.0,1.7883528
481.0,1.8416367
550.0,1.892941
619.0,1.9442453
688.0,1.9996219
757.0,2.057024
826.0,2.1144261
904.0,2.1718283
991.0,2.2292304
1086.0,2.2866323
1196.0,2.3413079
3.0,0.25478864
7.0,0.48951963
11.0,0.7286587
15.0,1.0120103
19.0,1.325681
23.0,1.6530855
27.0,1.9882969
31.0,2.336948
38.0,2.681382
163.0,2.80712
322.0,2.9328582
532.0,3.0583506
791.0,3.1704216
1085.0,3.2824926
1406.0,3.3945637
1739.0,3.5072832
2084.0,3.6330214
2434.0,3.7587595
2794.0,3.8844976
3156.0,4.010236
3520.0,4.135974
3886.0,4.261712
4254.0,4.38745
4624.0,4.5131893
5002.0,4.6594286
5387.0,4.805668
5785.0,4.951907
6195.0,5.0981464
6605.0,5.2443857
7015.0,5.390625
7425.0,5.5368643
7873.0,5.6831017
8358.0,5.829341
8876.0,5.97558
9425.0,6.1218195
9993.0,6.268059
10580.0,6.41527
11185.0,6.5820107
11821.0,6.9400916
12487.0,7.2981715
13165.0,7.6562524
13855.0,8.014342
14599.0,8.401124
15396.0,8.759205
1.0,0.058964927
2.0,0.11993872
3.0,0.18094504
4.0,0.24247444
6.0,0.29653352
8.0,0.35079327
12.0,0.38750502
18.0,0.4128372
28.0,0.43363962
41.0,0.46309233
57.0,0.49126938
73.0,0.5233822
89.0,0.5681644
112.0,0.6002772
141.0,0.6284542
172.0,0.6605669
204.0,0.70562476
237.0,0.7507264
281.0,0.7958588
335.0,0.8464112
412.0,0.87921846
489.0,0.92766917
566.0,0.9782377
643.0,1.0288064
720.0,1.079375
855.0,1.1108096
1048.0,1.1422441
1300.0,1.1736786
1611.0,1.2051132
1933.0,1.2365477
2266.0,1.2679822
2610.0,1.299417
3005.0,1.3308516
3450.0,1.3622861
3895.0,1.3937206
4340.0,1.4428786
4924.0,1.4733409
5647.0,1.4842746
6508.0,1.4952084
7369.0,1.5061423
8230.0,1.517076
9515.0,1.5280098
11224.0,1.5389435
12933.0,1.5498773
1.0,0.06948892
2.0,0.14944112
3.0,0.23151702
4.0,0.31518355
5.0,0.39991575
6.0,0.48464796
7.0,0.57061565
8.0,0.6565833
9.0,0.7426501
10.0,0.8287172
11.0,0.91478443
12.0,1.0008516
13.0,1.0869188
14.0,1.172986
15.0,1.2590532
17.0,1.3450589
19.0,1.4311261
24.0,1.5165166
43.0,1.5629869
71.0,1.6094553
108.0,1.6559201
166.0,1.6955687
245.0,1.7352035
345.0,1.7748308
461.0,1.8076932
592.0,1.8404945
731.0,1.8732958
878.0,1.906097
976.0,1.9457319
1025.0,1.9922004
1025.0,2.0783038
1143.0,2.117939
1378.0,2.148007
1634.0,2.1780748
1977.0,2.2081428
2320.0,2.2382107
2663.0,2.2683032
3006.0,2.2997377
3544.0,2.3298056
4277.0,2.3598728
5103.0,2.3899407
6021.0,2.4200087
6970.0,2.4500766
7950.0,2.4801445
4.0,0.049157083
10.0,0.13405497
16.0,0.23610228
24.0,0.34240547
32.0,0.45862734
40.0,0.5748492
48.0,0.6923866
56.0,0.8099242
64.0,0.94078416
72.0,1.0718613
80.0,1.2031013
88.0,1.3343413
96.0,1.4655813
104.0,1.5968213
112.0,1.7280613
120.0,1.8593609
129.0,1.990601
138.0,2.1224945
