,Iceland,Canada,Algeria,Burkina Faso,Ghana,Cote d'Ivoire,Niger,Tunisia,Belgium,Germany,Estonia,Ireland,Luxembourg,Norway,Poland,Sweden,South Africa,Cameroon,Mali,Spain,Morocco,Guinea,Somalia,Egypt,Albania,Bulgaria,Cyprus,Croatia,Greece,Hungary,Italy,Slovenia,Israel,Austria,Portugal,Bosnia and Herzegovina,Romania,Switzerland,Turkey,Moldova,Serbia,Slovakia,Dominican Republic,Guatemala,Honduras,Mexico,Panama,Costa Rica,Cuba,New Zealand,Bahrain,Saudi Arabia,Iran,Kuwait,Lebanon,Pakistan,Iraq,Qatar,South Korea,Argentina,Brazil,Chile,Ecuador,Colombia,Bolivia,Peru,Uruguay,Kazakhstan,Kyrgyzstan,Azerbaijan,Ukraine,Belarus,Tajikistan,Uzbekistan,Bangladesh,Indonesia,China,Latvia,Lithuania,Armenia,Djibouti,Guinea-Bissau
0,1.0874174,1.0879971,1.08774,1.086593,1.0873438,1.0867902,1.0867404,1.0866723,1.0864737,1.0858968,1.087011,1.0903428,1.0891726,1.0905122,1.0908098,1.0867741,1.0884646,1.0875778,1.0865794,1.0870292,1.0871671,1.0866276,1.0863835,1.0863987,1.086554,1.0867182,1.0878379,1.087731,1.0875534,1.0871251,1.0907195,1.0871246,1.0900595,1.0938685,1.0999418,1.0869645,1.089272,1.0981517,1.1387975,1.0880052,1.0895376,1.087584,1.0877944,1.086379,1.0873276,1.0879905,1.0892551,1.0874289,1.0869539,1.0873677,1.0866443,1.088534,1.1067144,1.0863932,1.0871434,1.0888368,1.0874187,1.0876663,1.0891225,1.0876393,1.093486,1.0915123,1.089576,1.0886949,1.0865333,1.0920057,1.0871775,1.0875897,1.0873902,1.0867559,1.0877675,1.0866698,1.0896744,1.088112,1.0879157,1.0886693,1.0870864,1.0866092,1.0868323,1.0868613,1.0877551,1.0863241
1,1.2012991,1.1934887,1.1925653,1.2004565,1.1964039,1.2006419,1.2006218,1.200562,1.2004282,1.1904823,1.2008808,1.2043245,1.195843,1.198295,1.2019179,1.1924715,1.1945392,1.1924683,1.2004901,1.191724,1.2010738,1.2005509,1.2002999,1.2003136,1.2004336,1.2005943,1.1887088,1.1916862,1.1950132,1.2009963,1.2018955,1.2010363,1.2017591,1.2079878,1.2107439,1.2008226,1.1973133,1.2121283,1.2504444,1.1985196,1.1989292,1.1921326,1.2016772,1.2002625,1.191504,1.2019436,1.2031134,1.1919714,1.2008066,1.1964325,1.2004797,1.202421,1.2208911,1.200302,1.1925372,1.1970066,1.1930755,1.2016375,1.1949441,1.201611,1.2071214,1.2018093,1.2034421,1.1983241,1.2004393,1.203976,1.1927756,1.2014743,1.1927059,1.2006904,1.2017258,1.2006403,1.2036473,1.1947381,1.192951,1.2026085,1.1934297,1.2005012,1.2007146,1.2007365,1.1927134,1.2002307
2,0.78881925,0.795313,0.7954367,0.7880117,0.7921053,0.78821474,0.788147,0.78807265,0.78783077,0.79402703,0.7884251,0.791681,0.79563093,0.7964674,0.7942522,0.79387784,0.79537815,0.79523665,0.78796405,0.79499745,0.7885562,0.7880045,0.7877651,0.78778213,0.78796154,0.78812784,0.79840827,0.79606986,0.7934927,0.78853786,0.7940889,0.78851074,0.7930013,0.7950508,0.8024897,0.78838307,0.79476035,0.79948753,0.8426912,0.79176617,0.79412293,0.79548323,0.7891989,0.7877821,0.79549086,0.7893481,0.79067785,0.7953333,0.78837794,0.7921243,0.7880821,0.7899363,0.8078857,0.7877804,0.79444826,0.7942387,0.79453784,0.78901196,0.7961427,0.7889846,0.7950783,0.79548514,0.7909902,0.7930727,0.7879226,0.7947865,0.7943565,0.7889923,0.79475105,0.7881258,0.78912175,0.7880159,0.7910187,0.79456985,0.7954663,0.7900368,0.7938369,0.78800774,0.78823674,0.78827196,0.79536957,0.78771234
3,0.57075703,0.53868735,0.5370432,0.5714795,0.55297333,0.5712592,0.57139504,0.57149535,0.5719203,0.53563005,0.5710872,0.56815076,0.54221654,0.542846,0.5562507,0.5410721,0.5404476,0.5374299,0.57167476,0.5356003,0.5710605,0.5716633,0.5718821,0.5718582,0.5715761,0.5713991,0.52136683,0.5335357,0.54639983,0.5709793,0.5566907,0.57111615,0.5597935,0.5655947,0.5564924,0.5711212,0.5471671,0.56036204,0.50511223,0.55764323,0.5516497,0.53612596,0.570355,0.57177466,0.53496844,0.570401,0.5687997,0.5362501,0.5710928,0.55298275,0.57132715,0.56962633,0.5528168,0.57184285,0.5397315,0.5480973,0.5404277,0.5707868,0.53910655,0.5708156,0.56363624,0.55293024,0.5685312,0.55366176,0.571695,0.5587034,0.540367,0.57057595,0.53919643,0.5715712,0.5706409,0.5717808,0.5687862,0.5432796,0.5376329,0.56967074,0.54254395,0.5715728,0.5713147,0.571256,0.53750634,0.57190734
4,0.9403868,0.9428565,0.9425967,0.93955255,0.9413425,0.9397571,0.93969744,0.9396271,0.93941575,0.94013804,0.93997145,0.94328094,0.94392896,0.9457003,0.9446861,0.94133174,0.94334525,0.9424727,0.93953305,0.9414338,0.9401192,0.9395753,0.9393318,0.9393472,0.93950945,0.93967575,0.9436723,0.9427608,0.941862,0.94008476,0.94422567,0.9400752,0.9434856,0.9468373,0.956088,0.93993586,0.9434875,0.9511342,0.9951704,0.94173306,0.94362116,0.94254005,0.9407551,0.93933344,0.94236463,0.9409337,0.9422297,0.94237304,0.9399188,0.94136477,0.9396079,0.9414957,0.9595586,0.93934226,0.9418816,0.9430781,0.9420902,0.94060576,0.94365865,0.9405787,0.94652903,0.9458408,0.94255507,0.9425974,0.93948483,0.94548386,0.9419237,0.94055337,0.9421739,0.93970156,0.9407094,0.93960935,0.9426134,0.9426671,0.9427389,0.9416162,0.94167656,0.9395658,0.93978894,0.9398203,0.94267553,0.9392741
5,1.2959636,1.287983,1.2879224,1.2967691,1.2918923,1.2965652,1.2966359,1.2967119,1.2969627,1.2892148,1.2963561,1.2931163,1.2878468,1.2866217,1.2898387,1.2896421,1.287951,1.2881025,1.2968243,1.2882946,1.2962308,1.2967856,1.2970241,1.2970067,1.296822,1.2966542,1.2841572,1.2871122,1.2901702,1.296244,1.2901628,1.296276,1.2914072,1.289844,1.2827436,1.2963973,1.2890474,1.2853097,1.2400603,1.2924352,1.2898008,1.2878034,1.2955842,1.2970029,1.2877349,1.2954448,1.2940965,1.2879574,1.2964013,1.2918769,1.2966949,1.2948462,1.2769924,1.2970076,1.2889925,1.2895658,1.2889504,1.2957835,1.2873893,1.2958109,1.2896355,1.2884281,1.2937876,1.2909892,1.2968647,1.289593,1.2890722,1.2957914,1.2886649,1.2966657,1.295672,1.2967795,1.2937771,1.2890166,1.2879204,1.2947536,1.2895875,1.2967778,1.2965472,1.2965107,1.2879595,1.2970755
6,-2.9035969,-2.8912663,-2.8907819,-2.9044006,-2.8969424,-2.9041867,-2.9042764,-2.9043562,-2.9046407,-2.892273,-2.9039898,-2.9008074,-2.8916433,-2.891041,-2.8959482,-2.8930013,-2.89152,-2.8910053,-2.9044776,-2.8912866,-2.9038827,-2.904447,-2.9046826,-2.904664,-2.9044616,-2.9042926,-2.8849435,-2.889539,-2.8945096,-2.903878,-2.89633,-2.903933,-2.897788,-2.8974917,-2.885504,-2.9040208,-2.8935807,-2.8929548,-2.843194,-2.8982952,-2.895055,-2.89053,-2.9032228,-2.9046443,-2.890276,-2.903122,-2.9017215,-2.8906875,-2.9040265,-2.8969274,-2.9043124,-2.9024866,-2.8848007,-2.9046626,-2.8921778,-2.8941853,-2.8922584,-2.90347,-2.8907325,-2.9034977,-2.897151,-2.8939707,-2.9014096,-2.8963633,-2.9045174,-2.8961608,-2.8923898,-2.903429,-2.8918037,-2.9043329,-2.9033518,-2.9044657,-2.9014645,-2.8928308,-2.8908813,-2.9024239,-2.8934133,-2.9044218,-2.9041874,-2.9041467,-2.8908944,-2.9047291
7,-0.58980584,-0.5786172,-0.5773866,-0.58895755,-0.58305305,-0.5891381,-0.58912915,-0.5890724,-0.58896184,-0.57530236,-0.58938396,-0.59286785,-0.5814887,-0.5843501,-0.5893605,-0.57772124,-0.57994384,-0.5773223,-0.5890084,-0.57654595,-0.5895901,-0.58907384,-0.5888202,-0.58883303,-0.58894044,-0.5891003,-0.5714556,-0.5760926,-0.58104706,-0.58949995,-0.58934504,-0.58955497,-0.58939946,-0.59657866,-0.59837914,-0.58932143,-0.58354604,-0.60067064,-0.63907605,-0.5857684,-0.5857093,-0.5768145,-0.59018457,-0.5887717,-0.57600635,-0.5904769,-0.5916121,-0.5766543,-0.5893042,-0.5830834,-0.5889708,-0.5909299,-0.6094993,-0.58881974,-0.5776387,-0.58330727,-0.57829005,-0.59017724,-0.580202,-0.590151,-0.5955429,-0.5889136,-0.5919426,-0.58521354,-0.5889554,-0.59174365,-0.5779859,-0.5899825,-0.57776356,-0.58921677,-0.5902608,-0.5891799,-0.59218764,-0.5803853,-0.577863,-0.59113693,-0.5789929,-0.589012,-0.58922213,-0.5892417,-0.577606,-0.5887474
8,0.17985156,0.18522346,0.18493176,0.1790904,0.18242209,0.17926915,0.17922714,0.17915319,0.17892429,0.18637547,0.17949854,0.18277448,0.18527235,0.18656111,0.18487419,0.18387783,0.1851855,0.18470898,0.17903587,0.18648039,0.17963783,0.1790894,0.1788507,0.17886907,0.17904438,0.17920902,0.18730891,0.18561868,0.18403217,0.17961146,0.18528788,0.17959899,0.18381321,0.18560258,0.1803208,0.17941988,0.18502696,0.19042993,0.23317932,0.18234453,0.18453358,0.18490736,0.1802647,0.17886081,0.1848414,0.18043908,0.18173103,0.18478729,0.17944103,0.18243222,0.17916037,0.1810034,0.19896334,0.17886761,0.18410623,0.18446222,0.18425569,0.18010762,0.18615638,0.1800803,0.18614408,0.18518575,0.18201263,0.18353437,0.17900366,0.18560876,0.18409804,0.18004677,0.18434562,0.17921422,0.18021488,0.17911148,0.18211472,0.18442969,0.18498766,0.18112588,0.18431832,0.17907979,0.1793115,0.17934668,0.18481454,0.1787962
9,0.08447907,0.084551804,0.08519835,0.085269354,0.08497865,0.08509003,0.08512097,0.08518937,0.08537901,0.08490166,0.084855095,0.08151027,0.083557606,0.08161768,0.081197724,0.08579591,0.0841187,0.0853616,0.08528908,0.08442868,0.08469375,0.08523159,0.08547532,0.08545882,0.08530585,0.085142665,0.0855572,0.085162714,0.08455072,0.084741235,0.080946386,0.08473119,0.08193921,0.07841899,0.081512146,0.084928475,0.08306306,0.07380789,0.03206936,0.084129125,0.0826569,0.08539932,0.0840775,0.08548481,0.08571495,0.083864026,0.08262282,0.085534304,0.08492001,0.084962234,0.085218176,0.08333613,0.0651809,0.08546424,0.085664764,0.08351718,0.08534762,0.08418496,0.08343671,0.08421193,0.07836447,0.081122704,0.08232541,0.083513,0.085328154,0.07995165,0.085544676,0.084290184,0.085460246,0.08510074,0.08408555,0.08518153,0.082176715,0.08451763,0.08500032,0.083185956,0.08503161,0.08525851,0.08503396,0.08500383,0.08519113,0.0855359
