A new study created in Journal with name: model-biochemical-mpnn-biochemical_mpnn_ic1_s5
Trial 0 finished with value: 0.0004759549046866596 and parameters: {'lr': 0.007044017196830412, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 16, 'af_g_net': 'tanh', 'drop_p_g_net': 0.023401962135737246, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0014156645472735052}. Best is trial 0 with value: 0.0004759549046866596.
Trial 3 finished with value: 0.0009670051513239741 and parameters: {'lr': 0.0012178514365660412, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.04822348718895188, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00998415521426899}. Best is trial 0 with value: 0.0004759549046866596.
Trial 5 finished with value: 0.0010173694463446736 and parameters: {'lr': 0.0017262993531605045, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 40, 'af_g_net': 'tanh', 'drop_p_g_net': 0.01740064857799928, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.016180190941034633}. Best is trial 4 with value: 0.00042219794704578817.
Trial 7 finished with value: 0.000761272618547082 and parameters: {'lr': 0.0044583718544212005, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0024335148668344917, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'relu', 'drop_p_h_net': 0.05524755062217018}. Best is trial 6 with value: 0.00010072071745526046.
Trial 10 finished with value: 0.0004112565948162228 and parameters: {'lr': 0.0005180109215451831, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.027615530831303896, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.08663473032892799}. Best is trial 6 with value: 0.00010072071745526046.
Trial 14 finished with value: 9.933324326993898e-05 and parameters: {'lr': 0.0005402817091652495, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.00011568344444090301, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.00019617269625909486}. Best is trial 13 with value: 8.399688522331417e-05.
Trial 17 finished with value: 0.00018882463336922228 and parameters: {'lr': 0.002450037976832601, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.00036793921792550914, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'relu', 'drop_p_h_net': 0.00010753772636959584}. Best is trial 13 with value: 8.399688522331417e-05.
Trial 20 finished with value: 0.000727094360627234 and parameters: {'lr': 0.002635004704514414, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'softplus', 'drop_p_g_net': 0.002122162256844583, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.0005279769820297473}. Best is trial 13 with value: 8.399688522331417e-05.
Trial 23 finished with value: 9.597721509635448e-05 and parameters: {'lr': 0.0009466742619804146, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.00023674580245735408, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.041005607128542634}. Best is trial 24 with value: 8.273934508906677e-05.
Trial 27 finished with value: 8.380849612876773e-05 and parameters: {'lr': 0.0013674480859673266, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0009114886476840311, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.1126845849457538}. Best is trial 24 with value: 8.273934508906677e-05.
Trial 28 finished with value: 0.0001076185071724467 and parameters: {'lr': 0.0014739412744301302, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0008996959688535277, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.12941178365521197}. Best is trial 24 with value: 8.273934508906677e-05.
