Using an existing study with name 'model-biochemical-mpnn-biochemical_mpnn_ic1_s5' instead of creating a new one.
Trial 1 finished with value: 0.0009228073176927865 and parameters: {'lr': 0.0009042794262642011, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0012041133154483132, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.42718330482119193}. Best is trial 6 with value: 0.00010072071745526046.
Trial 11 finished with value: 0.00037790651549585164 and parameters: {'lr': 0.007752601935632092, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00045048700525947505, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 64, 'af_h_net': 'softplus', 'drop_p_h_net': 0.27059079231278144}. Best is trial 6 with value: 0.00010072071745526046.
Trial 15 finished with value: 0.0001727776980260387 and parameters: {'lr': 0.0005157788042173048, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.0001108568031044306, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.00021800698313480303}. Best is trial 13 with value: 8.399688522331417e-05.
Trial 18 finished with value: 0.00012371703633107245 and parameters: {'lr': 0.002297735681106028, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.00040109662428064246, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.0005293552301391329}. Best is trial 13 with value: 8.399688522331417e-05.
Trial 21 finished with value: 0.0009713548934087157 and parameters: {'lr': 0.0007372211700896159, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'softplus', 'drop_p_g_net': 0.002938224614793517, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.0006014152374377715}. Best is trial 13 with value: 8.399688522331417e-05.
Trial 24 finished with value: 8.273934508906677e-05 and parameters: {'lr': 0.0011991246104560561, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.00021607247088519112, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.03860228876738323}. Best is trial 24 with value: 8.273934508906677e-05.
Trial 25 finished with value: 0.00019824874470941722 and parameters: {'lr': 0.0012568704859842676, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.0002116514703277048, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'relu', 'drop_p_h_net': 0.0977122784121589}. Best is trial 24 with value: 8.273934508906677e-05.
Trial 30 finished with value: 0.0001439663174096495 and parameters: {'lr': 0.0033131421085248716, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0007845382038986558, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 64, 'af_h_net': 'tanh', 'drop_p_h_net': 0.27894273391813096}. Best is trial 24 with value: 8.273934508906677e-05.
Trial 32 finished with value: 0.00020157083054073155 and parameters: {'lr': 0.006041407118709755, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.005552286873878045, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.005074258816283485}. Best is trial 24 with value: 8.273934508906677e-05.
Trial 35 finished with value: 7.608026498928666e-05 and parameters: {'lr': 0.0008787763958564248, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.00027447772335530005, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.04503869393428658}. Best is trial 35 with value: 7.608026498928666e-05.
Trial 38 finished with value: 0.0006143884384073317 and parameters: {'lr': 0.04487793620284576, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0004882663268657634, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 64, 'af_h_net': 'tanh', 'drop_p_h_net': 0.022920665889486387}. Best is trial 35 with value: 7.608026498928666e-05.
