Using an existing study with name 'model-biochemical-mpnn-biochemical_mpnn_ic1_s5' instead of creating a new one.
Trial 2 finished with value: 0.0006941414321772754 and parameters: {'lr': 0.03541668485960266, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0001368565736134765, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.013836184286516708}. Best is trial 0 with value: 0.0004759549046866596.
Trial 4 finished with value: 0.00042219794704578817 and parameters: {'lr': 0.012835173761131255, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.2282203617168399, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'relu', 'drop_p_h_net': 0.003707555631045166}. Best is trial 4 with value: 0.00042219794704578817.
Trial 6 finished with value: 0.00010072071745526046 and parameters: {'lr': 0.0010661521045577797, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.0003330066917315888, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.027256200671514755}. Best is trial 6 with value: 0.00010072071745526046.
Trial 8 finished with value: 0.0008334519225172698 and parameters: {'lr': 0.004221870388326097, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'tanh', 'drop_p_g_net': 0.008173125650347982, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 64, 'af_h_net': 'softplus', 'drop_p_h_net': 0.013517799899055109}. Best is trial 6 with value: 0.00010072071745526046.
Trial 9 finished with value: 0.00018014624947682023 and parameters: {'lr': 0.014796463797242398, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.0012509994343960255, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 64, 'af_h_net': 'softplus', 'drop_p_h_net': 0.002756150213136574}. Best is trial 6 with value: 0.00010072071745526046.
Trial 12 finished with value: 0.00012257983325980604 and parameters: {'lr': 0.0006533317526583764, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.00011850761937573621, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.00012481188662202106}. Best is trial 6 with value: 0.00010072071745526046.
Trial 13 finished with value: 8.399688522331417e-05 and parameters: {'lr': 0.0005506601697093104, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.00015155232877914147, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.00011392511486951789}. Best is trial 13 with value: 8.399688522331417e-05.
Trial 16 finished with value: 0.00016223789134528488 and parameters: {'lr': 0.0020335237188931574, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.00039108523065247726, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.0001085420215189357}. Best is trial 13 with value: 8.399688522331417e-05.
Trial 19 finished with value: 0.0007789781666360795 and parameters: {'lr': 0.0019242315027599357, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'softplus', 'drop_p_g_net': 0.002037662915923826, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.0005084113676307487}. Best is trial 13 with value: 8.399688522331417e-05.
Trial 22 finished with value: 0.0014871832681819797 and parameters: {'lr': 0.0008089576491575089, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.48033955591132027, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.0005108272101694936}. Best is trial 24 with value: 8.273934508906677e-05.
Trial 26 finished with value: 9.697613131720573e-05 and parameters: {'lr': 0.0011582226507044725, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.000178986059416343, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'relu', 'drop_p_h_net': 0.09693497885229116}. Best is trial 24 with value: 8.273934508906677e-05.
Trial 29 finished with value: 0.00014030707825440913 and parameters: {'lr': 0.0015866787624054992, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0008866064849701547, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.1626477965505746}. Best is trial 24 with value: 8.273934508906677e-05.
Trial 33 finished with value: 0.0001755108096404001 and parameters: {'lr': 0.0008740961909717585, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.0002340095004136033, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.03857324046938105}. Best is trial 24 with value: 8.273934508906677e-05.
Trial 36 finished with value: 0.0004926772671751678 and parameters: {'lr': 0.0010211140811727778, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.00023292435132387366, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.494935721299592}. Best is trial 35 with value: 7.608026498928666e-05.
