A new study created in Journal with name: model-biochemical-mpnn-biochemical_mpnn_ic3_s5
Trial 0 finished with value: 0.0003297224175184965 and parameters: {'lr': 0.016703187677701726, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.004904894153095071, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0003944729440587275}. Best is trial 1 with value: 8.63771783770062e-05.
Trial 4 finished with value: 0.0003234519390389323 and parameters: {'lr': 0.015681532000255047, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0001671086520885771, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0002980766956895573}. Best is trial 1 with value: 8.63771783770062e-05.
Trial 6 finished with value: 8.351521682925522e-05 and parameters: {'lr': 0.0008723250006859525, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'tanh', 'drop_p_g_net': 0.025121359379314666, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.0005477513299690663}. Best is trial 6 with value: 8.351521682925522e-05.
Trial 8 finished with value: 0.0005564819439314306 and parameters: {'lr': 0.003164609797635676, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.3069472508004355, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 64, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00744672099815974}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 19 finished with value: 0.00010140719678020105 and parameters: {'lr': 0.0009582417691508156, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'tanh', 'drop_p_g_net': 0.02769144442501593, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.07594419374081368}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 20 finished with value: 0.0002681093756109476 and parameters: {'lr': 0.000835785695739999, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.13502982252470902, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.05783362837887663}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 23 finished with value: 8.785394311416894e-05 and parameters: {'lr': 0.002416850108245207, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.0002833653344463295, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00010782849587129498}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 27 finished with value: 0.00010667808965081349 and parameters: {'lr': 0.0071597352398928326, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.0009439058468862949, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0007022073245791649}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 29 finished with value: 0.00013729443890042603 and parameters: {'lr': 0.003927345556812862, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'tanh', 'drop_p_g_net': 0.001988372731913951, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0037142526787192266}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 33 finished with value: 0.0003764703869819641 and parameters: {'lr': 0.010491842496445762, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.0002473723680956146, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00033869292350064724}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 34 finished with value: 8.235496352426708e-05 and parameters: {'lr': 0.0014250221745166747, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'relu', 'drop_p_g_net': 0.0005773746552098653, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00022821170365709827}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 38 finished with value: 7.116305641829967e-05 and parameters: {'lr': 0.0006277368873205517, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'relu', 'drop_p_g_net': 0.0002170732322462501, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00019763913307875767}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 41 finished with value: 5.939253605902195e-05 and parameters: {'lr': 0.0007276374414092009, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'relu', 'drop_p_g_net': 0.00018100829114605597, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0011253045099820901}. Best is trial 41 with value: 5.939253605902195e-05.
