Using an existing study with name 'model-biochemical-mpnn-biochemical_mpnn_ic3_s5' instead of creating a new one.
Trial 1 finished with value: 8.63771783770062e-05 and parameters: {'lr': 0.002891019528283199, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.0004499870714487374, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00047928076409441275}. Best is trial 1 with value: 8.63771783770062e-05.
Trial 3 finished with value: 0.00015288738359231502 and parameters: {'lr': 0.007661278457291929, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.0017910641523791345, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0010411298088043863}. Best is trial 1 with value: 8.63771783770062e-05.
Trial 7 finished with value: 0.00023317537852562964 and parameters: {'lr': 0.02553290849722128, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.062005685404412696, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'relu', 'drop_p_h_net': 0.2004027834740084}. Best is trial 6 with value: 8.351521682925522e-05.
Trial 9 finished with value: 0.0006429535569623113 and parameters: {'lr': 0.02401142764463562, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0006368005715960604, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.2272169817728658}. Best is trial 6 with value: 8.351521682925522e-05.
Trial 13 finished with value: 0.00017007393762469292 and parameters: {'lr': 0.0005266886395757981, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.03477270146578237, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00014859536963403408}. Best is trial 6 with value: 8.351521682925522e-05.
Trial 14 finished with value: 6.833118095528334e-05 and parameters: {'lr': 0.0009137379956580953, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00015842284992125387, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.015951321057338992}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 16 finished with value: 0.00012000215065199882 and parameters: {'lr': 0.0012643469502001028, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00011826647740838643, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.014978987280169255}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 18 finished with value: 0.00030034169321879745 and parameters: {'lr': 0.0009477985453019846, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'tanh', 'drop_p_g_net': 0.344906227317772, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.0529778940538916}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 24 finished with value: 0.00014661891327705234 and parameters: {'lr': 0.002203969047880482, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.0003138327474074975, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00011149625049430246}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 26 finished with value: 8.127375622279942e-05 and parameters: {'lr': 0.005520735428438974, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.00044784947302705394, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0007967251855926542}. Best is trial 14 with value: 6.833118095528334e-05.
Trial 30 finished with value: 0.0001538614451419562 and parameters: {'lr': 0.004489776392458049, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'tanh', 'drop_p_g_net': 0.002403464650685265, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.00292128183255435}. Best is trial 14 with value: 6.833118095528334e-05.
