2025-05-24 11:50:56,476 - INFO - A new study created in Journal with name: model-epidemics-mpnn-epidemics_mpnn_ic3_s5_pd_seed
2025-05-24 11:53:06,318 - INFO - Trial 0 finished with value: 0.0045265438966453075 and parameters: {'lr': 0.0028057582076672534, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'tanh', 'drop_p_g_net': 0.016730402817820244, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'relu', 'drop_p_h_net': 0.0004705059281907648}. Best is trial 0 with value: 0.0045265438966453075.
2025-05-24 11:54:40,322 - INFO - Trial 1 finished with value: 0.003983937669545412 and parameters: {'lr': 0.0011635338541918904, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.002265486450485179, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00014853153980421636}. Best is trial 1 with value: 0.003983937669545412.
2025-05-24 11:55:19,567 - INFO - Trial 2 finished with value: 0.002814039122313261 and parameters: {'lr': 0.008204643365323961, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.033959199243313656, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 8, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0009061902594114382}. Best is trial 2 with value: 0.002814039122313261.
2025-05-24 11:55:52,741 - INFO - Trial 3 finished with value: 0.03569621592760086 and parameters: {'lr': 0.010568529720322864, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'relu', 'drop_p_g_net': 0.2041453670307777, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 64, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0015973023661305591}. Best is trial 2 with value: 0.002814039122313261.
2025-05-24 11:57:44,975 - INFO - Trial 4 finished with value: 0.007742529734969139 and parameters: {'lr': 0.0029945018361271503, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00018869508789698286, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.04117599592262882}. Best is trial 2 with value: 0.002814039122313261.
2025-05-24 11:59:05,218 - INFO - Trial 5 finished with value: 0.021273043006658554 and parameters: {'lr': 0.014354376740977342, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 8, 'af_g_net': 'relu', 'drop_p_g_net': 0.0001718305701918592, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.005580959150991872}. Best is trial 2 with value: 0.002814039122313261.
2025-05-24 12:00:59,526 - INFO - Trial 6 finished with value: 0.031124364584684372 and parameters: {'lr': 0.000867278332118047, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0001241722605100823, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 8, 'af_h_net': 'relu', 'drop_p_h_net': 0.22754178673650124}. Best is trial 2 with value: 0.002814039122313261.
2025-05-24 12:02:51,804 - INFO - Trial 7 finished with value: 0.02172875590622425 and parameters: {'lr': 0.0015759936475969447, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 8, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0975468037883334, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.009885776211256199}. Best is trial 2 with value: 0.002814039122313261.
2025-05-24 12:04:44,921 - INFO - Trial 8 finished with value: 0.009287303313612938 and parameters: {'lr': 0.020599198123025936, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 16, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00010610008267254209, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.3074643105596185}. Best is trial 2 with value: 0.002814039122313261.
2025-05-24 12:05:12,055 - INFO - Trial 9 finished with value: 0.005364239681512117 and parameters: {'lr': 0.002215010903383992, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.0012969996024538206, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 8, 'af_h_net': 'relu', 'drop_p_h_net': 0.0010732599242723982}. Best is trial 2 with value: 0.002814039122313261.
2025-05-24 12:07:05,992 - INFO - Trial 10 finished with value: 0.012971793301403522 and parameters: {'lr': 0.040644443622328164, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.035744005701785715, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00011105513565315193}. Best is trial 2 with value: 0.002814039122313261.
2025-05-24 12:08:53,056 - INFO - Trial 11 finished with value: 0.0033315697219222784 and parameters: {'lr': 0.0070053136082578295, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.003359471685239052, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00010869401169388315}. Best is trial 2 with value: 0.002814039122313261.
2025-05-24 12:10:05,979 - INFO - Trial 12 finished with value: 0.002265186281874776 and parameters: {'lr': 0.00658415044022175, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.004410964282723648, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00041780429838230636}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:11:23,199 - INFO - Trial 13 finished with value: 0.0026884872931987047 and parameters: {'lr': 0.005731181713401878, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.009788349476324834, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0006144304118677076}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:12:22,902 - INFO - Trial 14 finished with value: 0.004094862379133701 and parameters: {'lr': 0.004583971567794767, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.0008111436679608836, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.004562110581076508}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:13:31,325 - INFO - Trial 15 finished with value: 0.002495119348168373 and parameters: {'lr': 0.004658872521101667, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.008199333895207977, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0003417626509855276}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:15:07,615 - INFO - Trial 16 finished with value: 0.029054326936602592 and parameters: {'lr': 0.0005131683171145804, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.004772502098514876, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00040442361477060823}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:17:03,609 - INFO - Trial 17 finished with value: 0.005591331049799919 and parameters: {'lr': 0.023689746442468056, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.0005931715869642417, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.041007609412121504}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:18:44,346 - INFO - Trial 18 finished with value: 0.0023721291217952967 and parameters: {'lr': 0.004213649052284001, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.011107581312825772, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0025706410730356503}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:20:39,399 - INFO - Trial 19 finished with value: 0.006932134740054607 and parameters: {'lr': 0.003865894900870661, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.03418491284259847, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.002578001839890245}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:21:35,872 - INFO - Trial 20 finished with value: 0.0057930294424295425 and parameters: {'lr': 0.01170019195290584, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.14734636342265064, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.014194088144331228}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:22:52,969 - INFO - Trial 21 finished with value: 0.0027654070872813463 and parameters: {'lr': 0.004769866108597013, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.01144689838640642, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00027211659990098895}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:24:15,027 - INFO - Trial 22 finished with value: 0.0023485941346734762 and parameters: {'lr': 0.001930084244941645, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.006710346790609479, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.002330652901085728}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:24:55,691 - INFO - Trial 23 finished with value: 0.044299036264419556 and parameters: {'lr': 0.0020827405518076794, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.4187598149940803, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.002437940442947555}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:26:51,008 - INFO - Trial 24 finished with value: 0.0037603527307510376 and parameters: {'lr': 0.001312110785564261, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.0020561859707733895, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.02932914706121329}. Best is trial 12 with value: 0.002265186281874776.
2025-05-24 12:27:57,381 - INFO - Trial 25 finished with value: 0.002607029629871249 and parameters: {'lr': 0.0029120874055492386, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.017675139450675528, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.0028079086848718958}. Best is trial 12 with value: 0.002265186281874776.
