2025-07-07 09:17:27,171 - INFO - A new study created in Journal with name: model-epidemics-mpnn-epidemics_mpnn_ic1_s5_pd_mult_noise_70db_2
2025-07-07 09:28:39,248 - INFO - Trial 0 finished with value: 0.17500276863574982 and parameters: {'lr': 0.0028057582076672534, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 16, 'af_g_net': 'softplus', 'drop_p_g_net': 0.04160439645256607, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 64, 'af_h_net': 'relu', 'drop_p_h_net': 0.00047687854154826123}. Best is trial 0 with value: 0.17500276863574982.
2025-07-07 09:39:34,126 - INFO - Trial 1 finished with value: 0.17491528391838074 and parameters: {'lr': 0.0020298058052421537, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'tanh', 'drop_p_g_net': 0.08023102291340051, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00042733023193754026}. Best is trial 1 with value: 0.17491528391838074.
2025-07-07 09:46:36,576 - INFO - Trial 2 finished with value: 0.174941748380661 and parameters: {'lr': 0.0006746417134006625, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 8, 'af_g_net': 'relu', 'drop_p_g_net': 0.006786479434196538, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 64, 'af_h_net': 'softplus', 'drop_p_h_net': 0.008389112347840602}. Best is trial 1 with value: 0.17491528391838074.
2025-07-07 09:52:41,992 - INFO - Trial 3 finished with value: 0.17489340901374817 and parameters: {'lr': 0.00619998391842305, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0005308046630775948, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0020874681332882297}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 09:57:22,612 - INFO - Trial 4 finished with value: 0.17491424083709717 and parameters: {'lr': 0.00182321977949036, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.10384064176934515, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'relu', 'drop_p_h_net': 0.0002682848665467024}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 10:00:28,616 - INFO - Trial 5 finished with value: 0.17500092089176178 and parameters: {'lr': 0.0266180879737575, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'tanh', 'drop_p_g_net': 0.005580959150991872, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.006707104906311699}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 10:08:37,011 - INFO - Trial 6 finished with value: 0.17490269243717194 and parameters: {'lr': 0.005551823656527309, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.000835842553963096, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0003947777846526165}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 10:10:42,247 - INFO - Trial 7 finished with value: 0.1752104014158249 and parameters: {'lr': 0.03617139922832709, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'relu', 'drop_p_g_net': 0.2063549255101069, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 8, 'af_h_net': 'tanh', 'drop_p_h_net': 0.15269211449098366}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 10:20:16,587 - INFO - Trial 8 finished with value: 0.1749134361743927 and parameters: {'lr': 0.000516266880824102, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.039851625590699845, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 64, 'af_h_net': 'relu', 'drop_p_h_net': 0.0012969996024538206}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 10:28:33,291 - INFO - Trial 9 finished with value: 0.17490872740745544 and parameters: {'lr': 0.0018563120895202664, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.006463549495216589, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.04939129693562082}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 10:38:46,869 - INFO - Trial 10 finished with value: 0.17489361763000488 and parameters: {'lr': 0.010779429595888576, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00013907316971166145, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0052356794636064605}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 10:47:08,674 - INFO - Trial 11 finished with value: 0.17489413917064667 and parameters: {'lr': 0.01215121257950337, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0001106685112517982, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.004188014038020313}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 10:51:27,875 - INFO - Trial 12 finished with value: 0.17489676177501678 and parameters: {'lr': 0.010115243099472421, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00013311689559882708, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.027828224932197054}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 10:57:16,658 - INFO - Trial 13 finished with value: 0.17489972710609436 and parameters: {'lr': 0.013888722857177743, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0006737086041154502, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0019651604162545483}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 11:04:50,327 - INFO - Trial 14 finished with value: 0.17489634454250336 and parameters: {'lr': 0.005016395010229711, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.000868599104929254, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'tanh', 'drop_p_h_net': 0.02168548951073606}. Best is trial 3 with value: 0.17489340901374817.
2025-07-07 11:09:18,965 - INFO - Trial 15 finished with value: 0.17489096522331238 and parameters: {'lr': 0.022689807665935067, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00031829626918498125, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0017199584642483062}. Best is trial 15 with value: 0.17489096522331238.
2025-07-07 11:13:22,962 - INFO - Trial 16 finished with value: 0.17491362988948822 and parameters: {'lr': 0.04791110834757887, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00040274755591918537, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0014204543044286637}. Best is trial 15 with value: 0.17489096522331238.
2025-07-07 11:16:52,845 - INFO - Trial 17 finished with value: 0.17492865025997162 and parameters: {'lr': 0.0217153323095243, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0020865907816363747, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0010501643521277422}. Best is trial 15 with value: 0.17489096522331238.
2025-07-07 11:27:16,598 - INFO - Trial 18 finished with value: 0.17489288747310638 and parameters: {'lr': 0.0036215085748537326, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0018844181225866098, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00014466937235701918}. Best is trial 15 with value: 0.17489096522331238.
2025-07-07 11:37:04,787 - INFO - Trial 19 finished with value: 0.17490389943122864 and parameters: {'lr': 0.003865894900870661, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00223046212785686, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00010055536209946451}. Best is trial 15 with value: 0.17489096522331238.
2025-07-07 11:40:14,189 - INFO - Trial 20 finished with value: 0.17493446171283722 and parameters: {'lr': 0.0010608453719732763, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.016731760051507304, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00012099424339891573}. Best is trial 15 with value: 0.17489096522331238.
2025-07-07 11:45:21,660 - INFO - Trial 21 finished with value: 0.17489801347255707 and parameters: {'lr': 0.007502682323298033, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00032232246581739295, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0035971463867128894}. Best is trial 15 with value: 0.17489096522331238.
2025-07-07 11:50:34,009 - INFO - Trial 22 finished with value: 0.17490652203559875 and parameters: {'lr': 0.016905342804026, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0018250984072703071, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.012062167618841158}. Best is trial 15 with value: 0.17489096522331238.
2025-07-07 12:01:22,263 - INFO - Trial 23 finished with value: 0.17488865554332733 and parameters: {'lr': 0.00717871132950746, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0002637771588295525, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0008306205919722568}. Best is trial 23 with value: 0.17488865554332733.
2025-07-07 12:10:47,618 - INFO - Trial 24 finished with value: 0.1748906522989273 and parameters: {'lr': 0.003683833942639131, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0002511452256161765, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00017182837916977588}. Best is trial 23 with value: 0.17488865554332733.
2025-07-07 12:17:09,424 - INFO - Trial 25 finished with value: 0.17488615214824677 and parameters: {'lr': 0.008567012692992938, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00028570594631805764, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0006050363883598816}. Best is trial 25 with value: 0.17488615214824677.
2025-07-07 12:24:46,757 - INFO - Trial 26 finished with value: 0.17489318549633026 and parameters: {'lr': 0.007673302371873105, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00020510364014708293, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00023797014226217006}. Best is trial 25 with value: 0.17488615214824677.
2025-07-07 12:32:17,480 - INFO - Trial 27 finished with value: 0.1748916357755661 and parameters: {'lr': 0.0031923974198113567, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0002488766601248763, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0007399797623993081}. Best is trial 25 with value: 0.17488615214824677.
2025-07-07 12:37:15,509 - INFO - Trial 28 finished with value: 0.17489561438560486 and parameters: {'lr': 0.008263206620295279, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0007933634499330399, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0007158778076806071}. Best is trial 25 with value: 0.17488615214824677.
2025-07-07 12:45:09,440 - INFO - Trial 29 finished with value: 0.17496274411678314 and parameters: {'lr': 0.004127102038871136, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'tanh', 'drop_p_g_net': 0.4936388099679684, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.00021173168212190274}. Best is trial 25 with value: 0.17488615214824677.
2025-07-07 12:58:31,318 - INFO - Trial 30 finished with value: 0.17490147054195404 and parameters: {'lr': 0.002560446371600595, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 8, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0035340098660620535, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.4272346438475887}. Best is trial 25 with value: 0.17488615214824677.
