2025-07-14 09:03:27,339 - INFO - A new study created in Journal with name: model-real-epid-gkan-real_epid_gkan_7
2025-07-14 09:04:51,799 - INFO - Trial 0 finished with value: 0.20405085384845734 and parameters: {'lr': 0.0028057582076672534, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 8.63200816860254e-06, 'lamb_h_net': 8.629132190071855e-06, 'grid_size_g_net': 5, 'spline_order_g_net': 3, 'range_limit_g_net': 4, 'mu_1_g_net': 0.8, 'mu_2_g_net': 0.1, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 5, 'grid_size_h_net': 8, 'spline_order_h_net': 1, 'range_limit_h_net': 1, 'mu_1_h_net': 0.4, 'mu_2_h_net': 0.6, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 2}. Best is trial 0 with value: 0.20405085384845734.
2025-07-14 09:05:22,059 - INFO - Trial 1 finished with value: 0.253557026386261 and parameters: {'lr': 0.00836904289437607, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.0005450293694558255, 'lamb_h_net': 0.05141096648805745, 'grid_size_g_net': 8, 'spline_order_g_net': 2, 'range_limit_g_net': 3, 'mu_1_g_net': 0.1, 'mu_2_g_net': 0.7000000000000001, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 1, 'grid_size_h_net': 20, 'spline_order_h_net': 3, 'range_limit_h_net': 5, 'mu_1_h_net': 0.4, 'mu_2_h_net': 0.1, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 3}. Best is trial 0 with value: 0.20405085384845734.
2025-07-14 09:05:35,756 - INFO - Trial 2 finished with value: 0.3392426371574402 and parameters: {'lr': 0.0008770946743725402, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 3.5700959600309506e-05, 'lamb_h_net': 0.009443515687962676, 'grid_size_g_net': 9, 'spline_order_g_net': 2, 'range_limit_g_net': 3, 'mu_1_g_net': 0.2, 'mu_2_g_net': 1.0, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 6, 'grid_size_h_net': 19, 'spline_order_h_net': 2, 'range_limit_h_net': 5, 'mu_1_h_net': 0.1, 'mu_2_h_net': 0.2, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 2}. Best is trial 0 with value: 0.20405085384845734.
2025-07-14 09:06:17,593 - INFO - Trial 3 finished with value: 0.20474568009376526 and parameters: {'lr': 0.0029945018361271503, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 4.84849618387329e-05, 'lamb_h_net': 0.0018037506431281848, 'grid_size_g_net': 7, 'spline_order_g_net': 3, 'range_limit_g_net': 1, 'mu_1_g_net': 1.0, 'mu_2_g_net': 0.8, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 1, 'grid_size_h_net': 18, 'spline_order_h_net': 3, 'range_limit_h_net': 4, 'mu_1_h_net': 0.8, 'mu_2_h_net': 0.1, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 1}. Best is trial 0 with value: 0.20405085384845734.
2025-07-14 09:07:00,419 - INFO - Trial 4 finished with value: 0.18689672648906708 and parameters: {'lr': 0.0266180879737575, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 7.343344964174945e-05, 'lamb_h_net': 8.935110590331863e-05, 'grid_size_g_net': 16, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.2, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 5, 'grid_size_h_net': 13, 'spline_order_h_net': 3, 'range_limit_h_net': 3, 'mu_1_h_net': 0.6, 'mu_2_h_net': 0.5, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 1}. Best is trial 4 with value: 0.18689672648906708.
2025-07-14 09:08:10,735 - INFO - Trial 5 finished with value: 0.19327399134635925 and parameters: {'lr': 0.0005778676408134936, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.2788681037423119, 'lamb_h_net': 3.131506913881627e-05, 'grid_size_g_net': 11, 'spline_order_g_net': 3, 'range_limit_g_net': 2, 'mu_1_g_net': 0.1, 'mu_2_g_net': 0.30000000000000004, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 6, 'grid_size_h_net': 17, 'spline_order_h_net': 2, 'range_limit_h_net': 5, 'mu_1_h_net': 0.9, 'mu_2_h_net': 0.2, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 4}. Best is trial 4 with value: 0.18689672648906708.
2025-07-14 09:09:04,886 - INFO - Trial 6 finished with value: 0.18048958480358124 and parameters: {'lr': 0.020599198123025936, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 2.331368773744933e-05, 'lamb_h_net': 0.00036529752669123603, 'grid_size_g_net': 18, 'spline_order_g_net': 3, 'range_limit_g_net': 1, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.5, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 1, 'grid_size_h_net': 10, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.6, 'mu_2_h_net': 0.8, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 6}. Best is trial 6 with value: 0.18048958480358124.
2025-07-14 09:09:34,682 - INFO - Trial 7 finished with value: 0.16654053330421448 and parameters: {'lr': 0.042059547328228614, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 5.117324605095931e-05, 'lamb_h_net': 1.6646452049870536e-06, 'grid_size_g_net': 14, 'spline_order_g_net': 2, 'range_limit_g_net': 1, 'mu_1_g_net': 0.30000000000000004, 'mu_2_g_net': 1.0, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 1, 'grid_size_h_net': 12, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.7000000000000001, 'mu_2_h_net': 0.8, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 5}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:10:03,253 - INFO - Trial 8 finished with value: 0.26096850633621216 and parameters: {'lr': 0.0027197956182842633, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 3.481277316673106e-06, 'lamb_h_net': 0.10275784161907374, 'grid_size_g_net': 10, 'spline_order_g_net': 1, 'range_limit_g_net': 1, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.7000000000000001, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 4, 'grid_size_h_net': 8, 'spline_order_h_net': 2, 'range_limit_h_net': 1, 'mu_1_h_net': 0.7000000000000001, 'mu_2_h_net': 0.4, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 1}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:10:49,749 - INFO - Trial 9 finished with value: 0.25833749771118164 and parameters: {'lr': 0.002404931475750692, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 3.528984625415799e-05, 'lamb_h_net': 0.009118098432074815, 'grid_size_g_net': 18, 'spline_order_g_net': 2, 'range_limit_g_net': 3, 'mu_1_g_net': 0.30000000000000004, 'mu_2_g_net': 0.1, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 6, 'grid_size_h_net': 15, 'spline_order_h_net': 2, 'range_limit_h_net': 2, 'mu_1_h_net': 0.8, 'mu_2_h_net': 0.9, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 5}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:11:10,548 - INFO - Trial 10 finished with value: 0.1972063034772873 and parameters: {'lr': 0.04549552501997391, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 0.019834845078846232, 'lamb_h_net': 1.2816553469185917e-06, 'grid_size_g_net': 14, 'spline_order_g_net': 1, 'range_limit_g_net': 2, 'mu_1_g_net': 0.4, 'mu_2_g_net': 1.0, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 3, 'grid_size_h_net': 5, 'spline_order_h_net': 1, 'range_limit_h_net': 3, 'mu_1_h_net': 1.0, 'mu_2_h_net': 1.0, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 6}. Best is trial 7 with value: 0.16654053330421448.
