x,sigxjminusxi
1.0,0.009873371
2.0,0.022386316
5.0,0.035827942
11.0,0.046102934
22.0,0.054284032
48.0,0.057009697
82.0,0.059001658
125.0,0.06713265
175.0,0.075263664
225.0,0.08339471
283.0,0.09180265
352.0,0.102241255
437.0,0.112695396
540.0,0.12314955
674.0,0.13360369
830.0,0.14405786
1001.0,0.15451202
1181.0,0.16496618
1401.0,0.17542034
1651.0,0.1858745
1981.0,0.19632867
2390.0,0.20678283
2863.0,0.217237
3431.0,0.22769111
4019.0,0.23814528
4667.0,0.24859944
5404.0,0.2590536
6206.0,0.26950774
7096.0,0.27996188
8059.0,0.29041603
9079.0,0.30087018
10165.0,0.31132436
11300.0,0.3217785
12520.0,0.33223265
13839.0,0.3426868
15203.0,0.35314095
16620.0,0.3635951
18106.0,0.37404925
19668.0,0.38682655
21254.0,0.3996039
22870.0,0.4123812
24518.0,0.4251585
26193.0,0.4379358
27882.0,0.4507131
1.0,0.123854354
3.0,0.25437236
7.0,0.35371825
14.0,0.39538535
21.0,0.45350933
40.0,0.48778158
59.0,0.53354454
88.0,0.57174575
117.0,0.6175214
156.0,0.6647194
212.0,0.7070326
286.0,0.75295126
383.0,0.79828835
502.0,0.84358966
648.0,0.88889104
843.0,0.9358907
1102.0,0.9800305
1403.0,1.0253319
1762.0,1.0729563
2120.0,1.1252271
2606.0,1.1763208
3148.0,1.225217
3690.0,1.2786493
4311.0,1.3320817
4972.0,1.3889987
5662.0,1.4459158
6416.0,1.5028329
7385.0,1.5595846
8354.0,1.6165017
9429.0,1.6687725
10610.0,1.7210432
11860.0,1.7930609
13233.0,1.8650604
14606.0,1.9751767
16029.0,2.0855262
17480.0,2.1958756
19047.0,2.312033
20614.0,2.4305134
22346.0,2.5466707
24216.0,2.667474
26086.0,2.7882776
28082.0,2.9090812
30479.0,3.0298848
33041.0,3.1506884
1.0,0.031186454
2.0,0.06576681
3.0,0.105624326
4.0,0.14780825
5.0,0.19112171
6.0,0.2351225
9.0,0.2684482
14.0,0.29782292
26.0,0.31947482
38.0,0.3457396
55.0,0.36929372
72.0,0.39288834
91.0,0.41792977
111.0,0.44693476
131.0,0.47700495
151.0,0.5071301
175.0,0.53733176
201.0,0.56753
238.0,0.59771
286.0,0.6279109
340.0,0.65811074
400.0,0.68831164
474.0,0.7185126
561.0,0.7533597
651.0,0.7882069
790.0,0.8218925
991.0,0.8555781
1221.0,0.88926375
1485.0,0.9229494
1787.0,0.9566339
2154.0,0.989158
2563.0,1.021682
3017.0,1.054206
3528.0,1.0855684
4112.0,1.116931
4828.0,1.1424856
5675.0,1.1680403
6661.0,1.209836
7832.0,1.250491
9083.0,1.291146
10403.0,1.331801
11826.0,1.3724561
13294.0,1.4131111
14866.0,1.4537661
1.0,0.016928732
3.0,0.028323831
5.0,0.04228102
7.0,0.05866728
9.0,0.07532193
12.0,0.09151808
27.0,0.095914654
42.0,0.10060385
62.0,0.10519602
95.0,0.108675
135.0,0.112384126
199.0,0.1135457
274.0,0.11720643
373.0,0.12086716
487.0,0.13129835
633.0,0.13356474
785.0,0.14343812
965.0,0.1527307
1172.0,0.16202329
1394.0,0.17131588
1640.0,0.18060847
1901.0,0.18990105
2183.0,0.19919364
2471.0,0.20848621
2773.0,0.2177788
3091.0,0.2282436
3436.0,0.23985934
3800.0,0.25263664
4184.0,0.27006024
4598.0,0.29213014
5041.0,0.31170088
5484.0,0.33377075
5968.0,0.35584065
6465.0,0.3790721
6962.0,0.40230358
7490.0,0.42553502
8032.0,0.44876647
8578.0,0.47199792
9135.0,0.49932182
9700.0,0.52761495
10276.0,0.5589147
10857.0,0.5902772
11457.0,0.62163967
12066.0,0.65300214
3.0,0.0022508756
9.0,0.0025244139
15.0,0.0033940757
22.0,0.004494193
29.0,0.00616114
40.0,0.008560073
56.0,0.011253711
75.0,0.01373727
98.0,0.016964708
125.0,0.021608109
178.0,0.024066849
271.0,0.026389994
403.0,0.02871314
540.0,0.031036288
681.0,0.034520864
833.0,0.038008455
985.0,0.04207396
1146.0,0.04672025
1341.0,0.051366538
1545.0,0.05601283
1750.0,0.060659125
1955.0,0.06530542
2169.0,0.06995171
2383.0,0.08258276
2670.0,0.08722905
2983.0,0.091867566
3361.0,0.095352285
3739.0,0.098837
4147.0,0.10232172
4713.0,0.10580644
5279.0,0.10929116
5915.0,0.112775885
6551.0,0.1162606
7192.0,0.11974532
7833.0,0.12361566
8667.0,0.12710038
9709.0,0.1305851
10751.0,0.13523139
11793.0,0.13987768
12947.0,0.14452398
14101.0,0.14917026
15380.0,0.15381655
16659.0,0.15846284
18209.0,0.16310912
1.0,0.020605784
2.0,0.045176126
3.0,0.07017997
4.0,0.09549158
5.0,0.121071585
6.0,0.1480656
11.0,0.17106879
17.0,0.19437975
26.0,0.21770163
35.0,0.24206375
49.0,0.26638135
63.0,0.29072046
88.0,0.3128014
161.0,0.33138657
241.0,0.34997174
337.0,0.3685569
438.0,0.38714206
539.0,0.40572724
704.0,0.4243124
872.0,0.4428976
1051.0,0.46148276
1241.0,0.48006794
1435.0,0.49975958
1653.0,0.51154125
1898.0,0.53244954
2159.0,0.55335784
2482.0,0.5731046
2831.0,0.5940129
3215.0,0.6114365
3659.0,0.62421376
4103.0,0.63949025
4636.0,0.6522676
5210.0,0.6644641
5836.0,0.67607987
6474.0,0.6872549
7112.0,0.70003223
7766.0,0.71280956
8454.0,0.7255869
9255.0,0.7383642
10102.0,0.750829
10949.0,0.7667786
11865.0,0.7830406
12817.0,0.8013488
13821.0,0.8176116
1.0,0.0058078654
2.0,0.01349447
4.0,0.01929125
7.0,0.022951983
10.0,0.026696092
17.0,0.028014537
27.0,0.037254147
37.0,0.046500478
47.0,0.05681686
65.0,0.06611232
92.0,0.075404935
119.0,0.084697574
193.0,0.091803394
291.0,0.098909214
411.0,0.10009089
555.0,0.108414225
739.0,0.1095758
992.0,0.110737376
1270.0,0.11189895
1612.0,0.11306053
2022.0,0.1142221
2460.0,0.11538368
2951.0,0.11654525
3480.0,0.11770681
4009.0,0.11886839
4579.0,0.12002996
5163.0,0.12119154
5747.0,0.122353114
6374.0,0.12351469
7013.0,0.124676265
7661.0,0.12699653
8309.0,0.12931967
8966.0,0.13164282
9628.0,0.13396597
10299.0,0.13628912
10980.0,0.13977385
11664.0,0.14325857
12360.0,0.1467433
13061.0,0.15022802
13770.0,0.1537127
14483.0,0.15719743
15202.0,0.16068216
15930.0,0.16416688
16666.0,0.16765161
1.0,0.047672864
2.0,0.11398521
3.0,0.18567355
