x,sigxjminusxi
8.0,0.02895271
16.0,0.05790542
24.0,0.08685813
33.0,0.11581084
42.0,0.14476356
51.0,0.17371628
61.0,0.202669
72.0,0.23162168
83.0,0.2605744
102.0,0.28952712
130.0,0.31847984
159.0,0.34743255
196.0,0.37638527
237.0,0.405338
281.0,0.4342907
334.0,0.46324337
392.0,0.49219608
454.0,0.5211488
523.0,0.5501015
597.0,0.57905424
679.0,0.60800695
769.0,0.6369597
860.0,0.6659124
954.0,0.69486505
1051.0,0.72381777
1149.0,0.7527705
1250.0,0.7817232
1351.0,0.8106759
1451.0,0.83962864
1551.0,0.86858135
1654.0,0.8975341
1780.0,0.92648673
1912.0,0.95543945
2044.0,0.98439217
2176.0,1.0133449
2308.0,1.0422976
2447.0,1.0712503
2587.0,1.100203
2727.0,1.1291558
2867.0,1.1581085
3009.0,1.1870612
3151.0,1.2160139
3293.0,1.2449666
3439.0,1.2739193
95.0,0.21171668
218.0,0.42343336
368.0,0.6351501
541.0,0.8468667
744.0,1.0585834
966.0,1.2703
1207.0,1.4820167
1467.0,1.6937335
1753.0,1.9054501
2069.0,2.1171668
2436.0,2.3288834
2861.0,2.5406
3331.0,2.7523167
3831.0,2.9640334
4361.0,3.17575
5046.0,3.387467
5754.0,3.5991836
6488.0,3.8109002
7249.0,4.022617
8049.0,4.2343335
8891.0,4.44605
9774.0,4.657767
10702.0,4.8694835
11672.0,5.0812006
12670.0,5.2929173
13729.0,5.504634
14837.0,5.7163506
15986.0,5.928067
17176.0,6.139784
18408.0,6.3515005
19676.0,6.563217
20973.0,6.774934
22331.0,6.9866505
23689.0,7.198367
25069.0,7.410084
26471.0,7.6218004
27905.0,7.833517
29363.0,8.045234
30851.0,8.25695
32361.0,8.468667
33888.0,8.680384
35430.0,8.8921
36987.0,9.103817
38559.0,9.315534
20.0,0.095905855
43.0,0.19181171
74.0,0.28771758
108.0,0.38362342
147.0,0.47952926
191.0,0.5754351
246.0,0.67134094
311.0,0.76724684
380.0,0.8631527
454.0,0.9590585
532.0,1.0549644
618.0,1.1508703
707.0,1.2467762
797.0,1.3426821
888.0,1.438588
980.0,1.5344937
1075.0,1.6303996
1173.0,1.7263055
1273.0,1.8222114
1374.0,1.9181173
1478.0,2.014023
1584.0,2.1099288
1697.0,2.2058346
1815.0,2.3017406
1941.0,2.3976464
2074.0,2.4935522
2221.0,2.589458
2374.0,2.6853638
2532.0,2.7812696
2694.0,2.8771753
2856.0,2.973081
3023.0,3.0689874
3200.0,3.1648932
3377.0,3.260799
3555.0,3.3567047
3733.0,3.4526105
3919.0,3.5485163
4108.0,3.644422
4300.0,3.7403278
4495.0,3.836234
4693.0,3.9321399
4892.0,4.0280457
5091.0,4.1239514
5292.0,4.219857
792.0,0.0
1598.0,0.0
2404.0,0.0
3210.0,0.0
4016.0,0.0
4822.0,0.0
5628.0,0.0
6818.0,0.0
8008.0,0.0
9228.0,0.0
10448.0,0.0
11692.0,0.0
12960.0,0.0
14239.0,0.0
15519.0,0.0
16809.0,0.0
18118.0,0.0
19427.0,0.0
20791.0,0.0
22209.0,0.0
23627.0,0.0
25059.0,0.0
26516.0,0.0
28028.0,0.0
29540.0,0.0
31276.0,0.0
33235.0,0.0
35236.0,0.0
37541.0,0.0
39963.0,0.0
42564.0,0.0
45317.0,0.0
48151.0,0.0
51065.0,0.0
54368.0,0.0
57828.0,0.0
61466.0,0.0
65265.0,0.0
69236.0,0.0
73362.0,0.0
77642.0,0.0
82051.0,0.0
86611.0,0.0
91309.0,0.0
