
Epoch 0, train loss: 422.2096, val loss: 1513.7500
Epoch 10, train loss: 435.3429, val loss: 1513.7500
Epoch 20, train loss: 435.3429, val loss: 1513.7500
Epoch 30, train loss: 435.3429, val loss: 1513.7500
Epoch 0, train loss: 422.2096, val loss: 1513.7500
Epoch 10, train loss: 435.3429, val loss: 1513.7500
Epoch 20, train loss: 435.3429, val loss: 1513.7500
Epoch 30, train loss: 435.3429, val loss: 1513.7500
Epoch 0, train loss: 422.2096, val loss: 1513.7500
Epoch 10, train loss: 435.3429, val loss: 1513.7500
Epoch 20, train loss: 435.3429, val loss: 1513.7500
Epoch 30, train loss: 435.3429, val loss: 1513.7500
Epoch 0, train loss: 422.2096, val loss: 1513.7500
Epoch 10, train loss: 435.3429, val loss: 1513.7500
Epoch 20, train loss: 435.3429, val loss: 1513.7500
Epoch 30, train loss: 435.3429, val loss: 1513.7500
Inferred coeffs for Iceland: [nan nan]
Epoch 0, train loss: 454.2395, val loss: 1685.0000
Epoch 10, train loss: 500.4000, val loss: 1685.0000
Epoch 20, train loss: 500.4000, val loss: 1685.0000
Epoch 30, train loss: 500.4000, val loss: 1685.0000
Epoch 0, train loss: 454.2395, val loss: 1685.0000
Epoch 10, train loss: 500.4000, val loss: 1685.0000
Epoch 20, train loss: 500.4000, val loss: 1685.0000
Epoch 30, train loss: 500.4000, val loss: 1685.0000
Epoch 0, train loss: 454.2395, val loss: 1685.0000
Epoch 10, train loss: 500.4000, val loss: 1685.0000
Epoch 20, train loss: 500.4000, val loss: 1685.0000
Epoch 30, train loss: 500.4000, val loss: 1685.0000
Epoch 0, train loss: 454.2395, val loss: 1685.0000
Epoch 10, train loss: 500.4000, val loss: 1685.0000
Epoch 20, train loss: 500.4000, val loss: 1685.0000
Epoch 30, train loss: 500.4000, val loss: 1685.0000
Inferred coeffs for Canada: [nan nan]
Epoch 0, train loss: 114.0903, val loss: 1064.7500
Epoch 10, train loss: 138.9143, val loss: 1064.7500
Epoch 20, train loss: 138.9143, val loss: 1064.7500
Epoch 30, train loss: 138.9143, val loss: 1064.7500
Epoch 0, train loss: 114.0903, val loss: 1064.7500
Epoch 10, train loss: 138.9143, val loss: 1064.7500
Epoch 20, train loss: 138.9143, val loss: 1064.7500
Epoch 30, train loss: 138.9143, val loss: 1064.7500
Epoch 0, train loss: 114.0903, val loss: 1064.7500
Epoch 10, train loss: 138.9143, val loss: 1064.7500
Epoch 20, train loss: 138.9143, val loss: 1064.7500
Epoch 30, train loss: 138.9143, val loss: 1064.7500
Epoch 0, train loss: 114.0903, val loss: 1064.7500
Epoch 10, train loss: 138.9143, val loss: 1064.7500
Epoch 20, train loss: 138.9143, val loss: 1064.7500
Epoch 30, train loss: 138.9143, val loss: 1064.7500
Inferred coeffs for Algeria: [nan nan]
Epoch 0, train loss: 201.8010, val loss: 553.5000
Epoch 10, train loss: 214.9714, val loss: 553.5000
Epoch 20, train loss: 214.9714, val loss: 553.5000
Epoch 30, train loss: 214.9714, val loss: 553.5000
Epoch 0, train loss: 201.8010, val loss: 553.5000
Epoch 10, train loss: 214.9714, val loss: 553.5000
Epoch 20, train loss: 214.9714, val loss: 553.5000
Epoch 30, train loss: 214.9714, val loss: 553.5000
Epoch 0, train loss: 201.8010, val loss: 553.5000
Epoch 10, train loss: 214.9714, val loss: 553.5000
Epoch 20, train loss: 214.9714, val loss: 553.5000
Epoch 30, train loss: 214.9714, val loss: 553.5000
Epoch 0, train loss: 201.8010, val loss: 553.5000
Epoch 10, train loss: 214.9714, val loss: 553.5000
Epoch 20, train loss: 214.9714, val loss: 553.5000
Epoch 30, train loss: 214.9714, val loss: 553.5000
Inferred coeffs for Burkina Faso: [nan nan]
Epoch 0, train loss: 230.2390, val loss: 1071.0000
Epoch 10, train loss: 248.5429, val loss: 1071.0000
Epoch 20, train loss: 248.5429, val loss: 1071.0000
Epoch 30, train loss: 248.5429, val loss: 1071.0000
Epoch 0, train loss: 230.2390, val loss: 1071.0000
Epoch 10, train loss: 248.5429, val loss: 1071.0000
Epoch 20, train loss: 248.5429, val loss: 1071.0000
Epoch 30, train loss: 248.5429, val loss: 1071.0000
Epoch 0, train loss: 230.2390, val loss: 1071.0000
Epoch 10, train loss: 248.5429, val loss: 1071.0000
Epoch 20, train loss: 248.5429, val loss: 1071.0000
Epoch 30, train loss: 248.5429, val loss: 1071.0000
Epoch 0, train loss: 230.2390, val loss: 1071.0000
Epoch 10, train loss: 248.5429, val loss: 1071.0000
Epoch 20, train loss: 248.5429, val loss: 1071.0000
Epoch 30, train loss: 248.5429, val loss: 1071.0000
Inferred coeffs for Ghana: [nan nan]
Epoch 0, train loss: 190.1940, val loss: 748.5000
Epoch 10, train loss: 204.1714, val loss: 748.5000
Epoch 20, train loss: 204.1714, val loss: 748.5000
Epoch 30, train loss: 204.1714, val loss: 748.5000
Epoch 0, train loss: 190.1940, val loss: 748.5000
Epoch 10, train loss: 204.1714, val loss: 748.5000
Epoch 20, train loss: 204.1714, val loss: 748.5000
Epoch 30, train loss: 204.1714, val loss: 748.5000
Epoch 0, train loss: 190.1940, val loss: 748.5000
Epoch 10, train loss: 204.1714, val loss: 748.5000
Epoch 20, train loss: 204.1714, val loss: 748.5000
Epoch 30, train loss: 204.1714, val loss: 748.5000
Epoch 0, train loss: 190.1940, val loss: 748.5000
Epoch 10, train loss: 204.1714, val loss: 748.5000
Epoch 20, train loss: 204.1714, val loss: 748.5000
Epoch 30, train loss: 204.1714, val loss: 748.5000
Inferred coeffs for Cote d'Ivoire: [nan nan]
Epoch 0, train loss: 305.3156, val loss: 698.5000
Epoch 10, train loss: 314.6857, val loss: 698.5000
Epoch 20, train loss: 314.6857, val loss: 698.5000
