
Epoch 0, train loss: 297.5330, val loss: 1606.2500
Epoch 10, train loss: 496.3143, val loss: 1606.2500
Epoch 20, train loss: 496.3143, val loss: 1606.2500
Epoch 30, train loss: 496.3143, val loss: 1606.2500
Epoch 0, train loss: 297.5330, val loss: 1606.2500
Epoch 10, train loss: 496.3143, val loss: 1606.2500
Epoch 20, train loss: 496.3143, val loss: 1606.2500
Epoch 30, train loss: 496.3143, val loss: 1606.2500
Epoch 0, train loss: 297.5330, val loss: 1606.2500
Epoch 10, train loss: 496.3143, val loss: 1606.2500
Epoch 20, train loss: 496.3143, val loss: 1606.2500
Epoch 30, train loss: 496.3143, val loss: 1606.2500
Epoch 0, train loss: 297.5330, val loss: 1606.2500
Epoch 10, train loss: 496.3143, val loss: 1606.2500
Epoch 20, train loss: 496.3143, val loss: 1606.2500
Epoch 30, train loss: 496.3143, val loss: 1606.2500
Inferred coeffs for Canada: [nan nan]
Epoch 0, train loss: 107.0914, val loss: 406.5000
Epoch 10, train loss: 92.8000, val loss: 406.5000
Epoch 20, train loss: 92.8000, val loss: 406.5000
Epoch 30, train loss: 92.8000, val loss: 406.5000
Epoch 0, train loss: 107.0914, val loss: 406.5000
Epoch 10, train loss: 92.8000, val loss: 406.5000
Epoch 20, train loss: 92.8000, val loss: 406.5000
Epoch 30, train loss: 92.8000, val loss: 406.5000
Epoch 0, train loss: 107.0914, val loss: 406.5000
Epoch 10, train loss: 92.8000, val loss: 406.5000
Epoch 20, train loss: 92.8000, val loss: 406.5000
Epoch 30, train loss: 92.8000, val loss: 406.5000
Epoch 0, train loss: 107.0914, val loss: 406.5000
Epoch 10, train loss: 92.8000, val loss: 406.5000
Epoch 20, train loss: 92.8000, val loss: 406.5000
Epoch 30, train loss: 92.8000, val loss: 406.5000
Inferred coeffs for United Kingdom: [nan nan]
Epoch 0, train loss: 110.9288, val loss: 195.0000
Epoch 10, train loss: 95.1429, val loss: 195.0000
Epoch 20, train loss: 95.1429, val loss: 195.0000
Epoch 30, train loss: 95.1429, val loss: 195.0000
Epoch 0, train loss: 110.9288, val loss: 195.0000
Epoch 10, train loss: 95.1429, val loss: 195.0000
Epoch 20, train loss: 95.1429, val loss: 195.0000
Epoch 30, train loss: 95.1429, val loss: 195.0000
Epoch 0, train loss: 110.9288, val loss: 195.0000
Epoch 10, train loss: 95.1429, val loss: 195.0000
Epoch 20, train loss: 95.1429, val loss: 195.0000
Epoch 30, train loss: 95.1429, val loss: 195.0000
Epoch 0, train loss: 110.9288, val loss: 195.0000
Epoch 10, train loss: 95.1429, val loss: 195.0000
Epoch 20, train loss: 95.1429, val loss: 195.0000
Epoch 30, train loss: 95.1429, val loss: 195.0000
Inferred coeffs for Spain: [nan nan]
Epoch 0, train loss: 51.8654, val loss: 75.7500
Epoch 10, train loss: 14.4000, val loss: 75.7500
Epoch 20, train loss: 14.4000, val loss: 75.7500
Epoch 30, train loss: 14.4000, val loss: 75.7500
Epoch 0, train loss: 51.8654, val loss: 75.7500
Epoch 10, train loss: 14.4000, val loss: 75.7500
Epoch 20, train loss: 14.4000, val loss: 75.7500
Epoch 30, train loss: 14.4000, val loss: 75.7500
Epoch 0, train loss: 51.8654, val loss: 75.7500
Epoch 10, train loss: 14.4000, val loss: 75.7500
Epoch 20, train loss: 14.4000, val loss: 75.7500
Epoch 30, train loss: 14.4000, val loss: 75.7500
Epoch 0, train loss: 51.8654, val loss: 75.7500
Epoch 10, train loss: 14.4000, val loss: 75.7500
Epoch 20, train loss: 14.4000, val loss: 75.7500
Epoch 30, train loss: 14.4000, val loss: 75.7500
Inferred coeffs for Greece: [nan nan]
Epoch 0, train loss: 8.5723, val loss: 82.7500
Epoch 10, train loss: 11.2000, val loss: 82.7500
Epoch 20, train loss: 11.2000, val loss: 82.7500
Epoch 30, train loss: 11.2000, val loss: 82.7500
Epoch 0, train loss: 8.5723, val loss: 82.7500
Epoch 10, train loss: 11.2000, val loss: 82.7500
Epoch 20, train loss: 11.2000, val loss: 82.7500
Epoch 30, train loss: 11.2000, val loss: 82.7500
Epoch 0, train loss: 8.5723, val loss: 82.7500
Epoch 10, train loss: 11.2000, val loss: 82.7500
Epoch 20, train loss: 11.2000, val loss: 82.7500
Epoch 30, train loss: 11.2000, val loss: 82.7500
Epoch 0, train loss: 8.5723, val loss: 82.7500
Epoch 10, train loss: 11.2000, val loss: 82.7500
Epoch 20, train loss: 11.2000, val loss: 82.7500
Epoch 30, train loss: 11.2000, val loss: 82.7500
Inferred coeffs for Guatemala: [nan nan]
Epoch 0, train loss: 1915.8556, val loss: 5000.5000
Epoch 10, train loss: 2114.9714, val loss: 5000.5000
Epoch 20, train loss: 2114.9714, val loss: 5000.5000
Epoch 30, train loss: 2114.9714, val loss: 5000.5000
Epoch 0, train loss: 1915.8556, val loss: 5000.5000
Epoch 10, train loss: 2114.9714, val loss: 5000.5000
Epoch 20, train loss: 2114.9714, val loss: 5000.5000
Epoch 30, train loss: 2114.9714, val loss: 5000.5000
Epoch 0, train loss: 1915.8556, val loss: 5000.5000
Epoch 10, train loss: 2114.9714, val loss: 5000.5000
Epoch 20, train loss: 2114.9714, val loss: 5000.5000
Epoch 30, train loss: 2114.9714, val loss: 5000.5000
Epoch 0, train loss: 1915.8556, val loss: 5000.5000
Epoch 10, train loss: 2114.9714, val loss: 5000.5000
Epoch 20, train loss: 2114.9714, val loss: 5000.5000
Epoch 30, train loss: 2114.9714, val loss: 5000.5000
Inferred coeffs for Mexico: [nan nan]
Epoch 0, train loss: 70.9062, val loss: 268.7500
Epoch 10, train loss: 106.8286, val loss: 268.7500
Epoch 20, train loss: 106.8286, val loss: 268.7500
Epoch 30, train loss: 106.8286, val loss: 268.7500
Epoch 0, train loss: 70.9062, val loss: 268.7500
Epoch 10, train loss: 106.8286, val loss: 268.7500
Epoch 20, train loss: 106.8286, val loss: 268.7500
Epoch 30, train loss: 106.8286, val loss: 268.7500
Epoch 0, train loss: 70.9062, val loss: 268.7500
Epoch 10, train loss: 106.8286, val loss: 268.7500
Epoch 20, train loss: 106.8286, val loss: 268.7500
Epoch 30, train loss: 106.8286, val loss: 268.7500
Epoch 0, train loss: 70.9062, val loss: 268.7500
Epoch 10, train loss: 106.8286, val loss: 268.7500
Epoch 20, train loss: 106.8286, val loss: 268.7500
Epoch 30, train loss: 106.8286, val loss: 268.7500
Inferred coeffs for Panama: [nan nan]
Epoch 0, train loss: 9.2004, val loss: 78.5000
Epoch 10, train loss: 22.1714, val loss: 78.5000
Epoch 20, train loss: 22.1714, val loss: 78.5000
Epoch 30, train loss: 22.1714, val loss: 78.5000
Epoch 0, train loss: 9.2004, val loss: 78.5000
Epoch 10, train loss: 22.1714, val loss: 78.5000
Epoch 20, train loss: 22.1714, val loss: 78.5000
Epoch 30, train loss: 22.1714, val loss: 78.5000
Epoch 0, train loss: 9.2004, val loss: 78.5000
Epoch 10, train loss: 22.1714, val loss: 78.5000
Epoch 20, train loss: 22.1714, val loss: 78.5000
Epoch 30, train loss: 22.1714, val loss: 78.5000
Epoch 0, train loss: 9.2004, val loss: 78.5000
Epoch 10, train loss: 22.1714, val loss: 78.5000
Epoch 20, train loss: 22.1714, val loss: 78.5000
Epoch 30, train loss: 22.1714, val loss: 78.5000
Inferred coeffs for Costa Rica: [nan nan]
Epoch 0, train loss: 12.6287, val loss: 70.0000
Epoch 10, train loss: 16.6571, val loss: 70.0000
Epoch 20, train loss: 16.6571, val loss: 70.0000
Epoch 30, train loss: 16.6571, val loss: 70.0000
Epoch 0, train loss: 12.6287, val loss: 70.0000
Epoch 10, train loss: 16.6571, val loss: 70.0000
Epoch 20, train loss: 16.6571, val loss: 70.0000
Epoch 30, train loss: 16.6571, val loss: 70.0000
Epoch 0, train loss: 12.6287, val loss: 70.0000
Epoch 10, train loss: 16.6571, val loss: 70.0000
Epoch 20, train loss: 16.6571, val loss: 70.0000
Epoch 30, train loss: 16.6571, val loss: 70.0000
Epoch 0, train loss: 12.6287, val loss: 70.0000
Epoch 10, train loss: 16.6571, val loss: 70.0000
Epoch 20, train loss: 16.6571, val loss: 70.0000
Epoch 30, train loss: 16.6571, val loss: 70.0000
Inferred coeffs for El Salvador: [nan nan]
Epoch 0, train loss: 187.8125, val loss: 624.5000
Epoch 10, train loss: 286.4286, val loss: 624.5000
Epoch 20, train loss: 286.4286, val loss: 624.5000
Epoch 30, train loss: 286.4286, val loss: 624.5000
Epoch 0, train loss: 187.8125, val loss: 624.5000
Epoch 10, train loss: 286.4286, val loss: 624.5000
Epoch 20, train loss: 286.4286, val loss: 624.5000
Epoch 30, train loss: 286.4286, val loss: 624.5000
Epoch 0, train loss: 187.8125, val loss: 624.5000
Epoch 10, train loss: 286.4286, val loss: 624.5000
Epoch 20, train loss: 286.4286, val loss: 624.5000
Epoch 30, train loss: 286.4286, val loss: 624.5000
Epoch 0, train loss: 187.8125, val loss: 624.5000
Epoch 10, train loss: 286.4286, val loss: 624.5000
Epoch 20, train loss: 286.4286, val loss: 624.5000
Epoch 30, train loss: 286.4286, val loss: 624.5000
Inferred coeffs for Japan: [nan nan]
Epoch 0, train loss: 93.2625, val loss: 758.2500
Epoch 10, train loss: 124.9714, val loss: 758.2500
Epoch 20, train loss: 124.9714, val loss: 758.2500
Epoch 30, train loss: 124.9714, val loss: 758.2500
Epoch 0, train loss: 93.2625, val loss: 758.2500
Epoch 10, train loss: 124.9714, val loss: 758.2500
Epoch 20, train loss: 124.9714, val loss: 758.2500
Epoch 30, train loss: 124.9714, val loss: 758.2500
Epoch 0, train loss: 93.2625, val loss: 758.2500
Epoch 10, train loss: 124.9714, val loss: 758.2500
Epoch 20, train loss: 124.9714, val loss: 758.2500
Epoch 30, train loss: 124.9714, val loss: 758.2500
Epoch 0, train loss: 93.2625, val loss: 758.2500
Epoch 10, train loss: 124.9714, val loss: 758.2500
Epoch 20, train loss: 124.9714, val loss: 758.2500
Epoch 30, train loss: 124.9714, val loss: 758.2500
Inferred coeffs for Philippines: [nan nan]
Epoch 0, train loss: 47.1509, val loss: 490.2500
Epoch 10, train loss: 67.2571, val loss: 490.2500
Epoch 20, train loss: 67.2571, val loss: 490.2500
Epoch 30, train loss: 67.2571, val loss: 490.2500
Epoch 0, train loss: 47.1509, val loss: 490.2500
Epoch 10, train loss: 67.2571, val loss: 490.2500
Epoch 20, train loss: 67.2571, val loss: 490.2500
Epoch 30, train loss: 67.2571, val loss: 490.2500
Epoch 0, train loss: 47.1509, val loss: 490.2500
Epoch 10, train loss: 67.2571, val loss: 490.2500
Epoch 20, train loss: 67.2571, val loss: 490.2500
Epoch 30, train loss: 67.2571, val loss: 490.2500
Epoch 0, train loss: 47.1509, val loss: 490.2500
Epoch 10, train loss: 67.2571, val loss: 490.2500
Epoch 20, train loss: 67.2571, val loss: 490.2500
