x,sigxjminusxi
6,0.533057407421121
12,1.06736322095678
25,1.60040595468335
44,2.133441230354
78,2.66646204884149
129,3.19948286732454
214,3.73250368580759
315,4.26552450429064
455,4.7985453227737
620,5.33156614125675
821,5.8645869597398
1035,6.39760777822285
1277,6.9306285967059
1557,7.46364941518895
1841,7.99667023367201
2171,8.52969105215506
2529,9.06271187063811
2918,9.59573268912116
3367,10.1287535076042
3863,10.6617743260873
4359,11.1947951445703
4855,11.7278159630534
5351,12.2608367815364
5847,12.7938576000195
6566,13.3268784185025
7285,13.8598992369856
8004,14.3929200554686
8766,14.9259408739517
9571,15.4589616924347
10492,15.9919825109178
11413,16.5250033294008
12433,17.0580241478839
13551,17.5910449663669
14742,18.12406578485
16006,18.657086603333
17342,19.1901074218161
18775,19.7231282402991
20305,20.2561490587822
21968,20.7891698772652
23763,21.3221906957483
25665,21.8552115142313
27674,22.3882323327144
29789,22.9212531511974
32070,23.4542739696805
2,0.711028695914003
7,1.43641019459355
15,2.49468445217427
23,3.55458058785258
38,3.99297013899743
53,5.05504076861222
71,6.11698885914011
98,7.17893033818655
126,8.2408718158422
158,9.30281329270622
192,10.364754769605
226,11.4266962465037
265,12.4886377233282
312,13.5505792001521
367,14.612520676976
435,15.6744621537999
506,16.7364036306237
577,17.7983451074474
655,18.8602865840738
737,19.922228060361
838,20.9107122795277
940,21.7931874832716
1042,22.8613244431448
1151,23.849808662312
1263,24.7322838660558
1380,25.8050717447134
1500,26.8779148419966
1622,27.9507782552446
1759,28.5060925413576
1896,29.3885677451015
2066,29.7534819977555
2269,30.1183962504092
2481,30.483310503063
2702,30.8482247557168
2931,31.2131390083706
3215,31.5780532610244
3554,31.9429675136782
3938,32.3078817572402
4366,32.6618622496814
4837,33.015842741956
5351,33.3698232342307
5908,33.7238037265053
6520,34.0777842187799
7186,34.4317647110546
1,0.0942670942557968
3,0.542452941345177
8,1.04551702452163
21,1.14451388292833
34,1.24356214886501
47,1.95465787488188
87,2.04896155816169
141,2.14326524143177
198,2.23756892470191
271,2.33187260797199
352,2.42617629124207
440,2.52047997451214
528,2.61478365778222
621,2.7090873410523
716,2.80339102432238
811,2.89769470759246
909,2.9919983908626
1009,3.08630207413286
1109,3.18060575740311
1209,3.27490944086839
1312,3.36921312466906
1415,3.54693032383566
1518,3.82942863477196
1625,3.92841571185064
1736,4.10613291101724
1849,4.38863122195354
1975,4.48302125189408
2105,4.57735670280691
2238,4.67167207307504
2374,5.27754179294382
2512,5.56004010388012
2653,6.35410445225112
2796,7.15090223988015
2951,7.94770002750994
3118,8.74449781513973
3296,9.54129560276953
3475,10.3380933903993
3655,11.1348911780291
3854,11.9316889656589
4072,12.7284867532887
4315,13.5252845409185
4582,14.3220823285483
4873,15.1188801161781
5184,15.9156779038079
1,0.576035071322514
2,1.15432827330844
3,1.73262147529436
4,2.33435608969631
5,2.93937158698642
6,3.54438708746826
7,4.1582447749131
8,4.77210482331491
10,5.36047582580771
13,5.91355219024816
17,6.44750365251722
21,6.98427135804158
25,7.52141535668933
30,8.04526776121677
35,8.57266685432952
40,9.12136508082693
45,9.67651587641514
50,10.2537195992962
55,10.847007637687
60,11.4542844558224
65,12.0684565044957
70,12.6854063417991
77,13.2940111582195
84,13.9028976250881
95,14.4681405111177
110,14.9989652947028
129,15.5085356441041
150,16.0191947530872
173,16.5303264785363
200,17.0338720575612
231,17.5281323126104
268,18.0216161487196
311,18.5147612741421
359,19.0013142862444
412,19.4847087115699
470,19.9650756272048
536,20.4447989471373
609,20.9245177677458
687,21.4042365085614
769,21.8839552457619
855,22.363673982473
944,22.8433927191181
1036,23.3231114557543
1137,23.8028301923889
1,0.032381938264633
2,0.064763876529266
3,0.097145814793899
4,0.130526905473764
5,0.165476876506083
6,0.202018455647204
7,0.238560035506708
10,0.274275661491113
13,0.310031523253424
16,0.345810721977541
19,0.381602243263634
22,0.417393764549726
25,0.453185285835818
28,0.489885056343482
31,0.52658511653505
35,0.562997348107586
39,0.599409579680121
43,0.635821811252656
47,0.672752875944166
51,0.709683940641207
55,0.746615165586825
60,0.783703102799191
65,0.82079105444036
70,0.857879006081528
78,0.894806914446522
88,0.931711828526133
100,0.968613306591114
113,1.00551369372238
127,1.04241182588649
146,1.08218899048552
169,1.12965644192355
195,1.17648882468288
223,1.22299509025323
253,1.26927607060561
298,1.31574455218327
358,1.36221252785711
418,1.40868050394903
492,1.45107626385494
581,1.48797777277688
685,1.51804561733392
804,1.54674673916548
928,1.57805166788163
1056,1.60968074469068
1197,1.64472586023986
18,8.51416068628667e-06
36,0.00126902425759297
54,0.450287552268174
80,0.960073706128389
106,1.46986028389131
132,1.9796469542669
229,2.48943039972653
385,2.48943055567138
782,2.48943055567138
1288,2.48943055567138
1878,2.48943055567138
2700,2.48943055567138
3642,2.48943055567138
4754,2.48943055567138
5958,2.48943055567138
7322,2.99921713334876
8948,3.50900371102614
10574,4.01879028870352
12633,4.5285768663809
14692,5.03836344405828
17138,5.54815002173566
19584,6.05793659941304
22479,6.56772317709042
25374,7.0775097547678
28477,7.58729633244518
32125,8.09708291012256
35773,8.60686948779994
39665,9.11665606547732
43557,9.6264426431547
47449,10.1362292208321
51482,10.6460157985095
55656,11.1558023761868
59830,11.6655889538642
64371,12.1753755315416
69097,12.685162109219
74007,13.1949486868964
78957,13.7047352645737
83947,14.2145218422511
88976,14.7243084199285
94005,15.2340949976059
99034,15.7438815752833
104330,16.2536681529606
109893,16.763454730638
115508,17.2732413083154
2,0.0761468029536052
5,0.155018257511937
20,0.209867558388046
36,0.264607649911575
65,0.31927645197705
94,0.373945254309214
134,0.42861405620492
177,0.483282858100618
231,0.537951659996316
285,0.592620461892014
344,0.647289263787711
409,0.701958065683409
478,0.756626867579106
551,0.811295669474804
627,0.865964471370501
703,0.920633273266199
779,0.975302075161896
855,1.03013379408083
931,1.08616925397774
1023,1.14220477592083
1130,1.19824029786392
1237,1.25427581980701
1344,1.3103113417501
1451,1.36634935399706
1582,1.42238487677631
1737,1.47842039871949
1901,1.53445592066262
2074,1.59049144260572
2249,1.64652696454881
2426,1.7025624864919
2605,1.75859800843499
2805,1.81463353037808
3026,1.87340249014302
3247,1.9321714521809
3468,1.99094041421877
3706,2.04970937625665
3961,2.10847833829452
4233,2.1672473003324
4505,2.22601626237027
4777,2.28478522440815
5049,2.34355418644602
5321,2.4023231484839
5613,2.46109211052177
5924,2.51986107255965
1,0.0587689536405083
2,0.117537915678383
3,0.178988542570418
4,0.240439169462453
5,0.304623236449273
6,0.368807303436092
7,0.432991370422912
8,0.504169504316355
16,0.56301548165589
24,0.631406060050713
32,0.699802146200834
40,0.768386818828031
48,0.837176142064152
56,0.906801700699524
65,0.976373776464666
74,1.04594585222981
83,1.11551792799495
92,1.18520213185848
101,1.25498656908532
121,1.32332303272942
141,1.39165949673502
161,1.45999596074062
185,1.52833215463585
213,1.59673297531617
246,1.66507235712602
279,1.73341173893663
312,1.80177232357455
345,1.87027124312198
380,1.93877016261306
416,2.00747373494438
453,2.07617742909518
497,2.14451693494085
547,2.21285333664833
606,2.28118934170896
674,2.34952534409494
742,2.4178613634131
810,2.48621568311595
878,2.55655123546802
959,2.62488725778071
1052,2.69350908774233
1156,2.7618450952916
1260,2.83018110284088
1364,2.89851711737167
1468,2.9695865849224
2,0.0496730398195383
4,0.0993460796390767
6,0.149386687090776
8,0.199427294542475
10,0.249467901994173
12,0.300875229493265
14,0.354905687838616
18,0.40932608059524
22,0.463746502209467
26,0.521043214426539
30,0.578634224038407
34,0.636712298914833
38,0.695022099881688
42,0.753331900848543
46,0.811641701815397
52,0.869059378666079
58,0.92653459490435
64,0.984335642916159
70,1.04482875220974
76,1.10532186150332
82,1.16704399951651
88,1.22884677776456
94,1.29070226952309
105,1.35218204030152
116,1.41367911492048
127,1.47517618957067
144,1.5355760615591
166,1.5931727594528
193,1.65057842778443
227,1.7079376724722
268,1.76193281871056
313,1.815651630146
362,1.86912338902381
418,1.92245252649612
481,1.97574060988049
550,2.02704518251976
619,2.0803546997045
688,2.13776659487748
757,2.19550398680546
826,2.2559562998075
904,2.31608950210259
991,2.37505311857704
1086,2.42975630428182
1196,2.48442556451217
3,0.246762223625089
7,0.455630299286571
11,0.662750319661196
15,0.869878995079861
19,1.08156934714912
23,1.38893084873349
27,1.69629235031786
31,2.0038252229358
38,2.19528650400225
163,2.31692458822059
322,2.43856267243851
532,2.56020075665644
791,2.68183884087437
1085,2.80347692509229
1406,2.92511500931022
1739,3.04675309352815
2084,3.16839117774608
2434,3.290029261964
2794,3.41166734618193
3156,3.53330543039986
3520,3.65494351461778
3886,3.77658159883571
4254,3.89821968305364
4624,4.01985776727157
5002,4.16199665218484
5387,4.30413553711365
5785,4.44627443113419
6195,4.59934707627562
6605,4.75241972158358
7015,4.90549236689153
7425,5.05856501219948
7873,5.21163765750744
8358,5.36471030281539
8876,5.51778294812335
9425,5.6708555934313
9993,5.82392823873925
10580,5.97700088404721
11185,6.13007352935516
11821,6.28314617466311
12487,6.43621881997107
13165,6.58929146527902
13855,6.74236411058697
14599,6.89543675589493
15396,7.04850940120288
1,0.0980442854993828
2,0.196101997228645
3,0.294160485340195
4,0.392219078528044
6,0.489939561212931
8,0.594643829369169
12,0.690935953272076
18,0.781562651912496
28,0.869196125073102
41,0.956674392412564
57,1.04414488151833
73,1.13161785393177
89,1.21910913478729
112,1.30657936016179
141,1.39404921743416
172,1.48151907409312
204,1.56898907407126
237,1.65645912677398
281,1.74326549273638
335,1.79392537784812
412,1.84449401960304
489,1.89506266135795
566,1.94563130318753
643,1.99619994909376
720,2.04676881757618
855,2.10553777961406
1048,2.16430674165193
1300,2.22307570368981
1611,2.28184466572768
1933,2.34061362776556
2266,2.39938258980343
2610,2.45815155184131
3005,2.51692051387918
3450,2.57568947591706
3895,2.63445843795493
4340,2.69322739999281
4924,2.75199636203068
5647,2.81076532406856
6508,2.86133396582208
7369,2.92010292785995
8230,2.97887188989783
9515,3.0376408519357
11224,3.06770869297833
12933,3.09777653402097
1,0.0726303049671489
2,0.145687288999721
3,0.220332278509179
4,0.294977308675414
5,0.370613239240914
6,0.446260716162475
7,0.522435057560094
8,0.602026432012458
9,0.681617806464822
10,0.767359421130452
11,0.859931084550758
12,0.953683554753459
13,1.04753470489234
14,1.14284254856331
15,1.23815072628294
17,1.33325447400256
19,1.42835902162373
24,1.52113806833317
43,1.56934603025425
71,1.61294468562271
108,1.65123555772425
166,1.68950371905145
245,1.72777188037844
345,1.76603755140156
461,1.80430571189239
592,1.84257387321927
731,1.88084203454622
878,1.9191101958732
977,1.95737835720018
1027,2.00659594584368
1027,2.12664271118036
1145,2.16491087250735
1380,2.20044559601249
1636,2.23598031724469
1979,2.2715150384769
2322,2.3070497597091
2665,2.3425844809413
3008,2.37811920217351
3546,2.40818704321614
4279,2.43825488425877
5105,2.46832272530141
6023,2.49839056634404
6972,2.52845840738667
7952,2.55852624842931
4,0.122811661012696
10,0.242352093814912
16,0.364648345590705
24,0.493926531303312
32,0.623532110994458
40,0.753755978065385
48,0.88482151905159
56,1.01923200161304
64,1.15421819921288
72,1.28920564196465
80,1.42420268985971
88,1.55936110184264
96,1.6949880872304
104,1.83143682234259
112,1.9769357907193
120,2.12310072978849
129,2.28223400511942
138,2.44171845027462
147,2.60234058371319
156,2.80188316193805
166,3.00142550883619
176,3.20097452410437
189,3.40048294653132
205,3.59976280500041
223,3.79864944725113
242,3.99673586418321
262,4.19360918366709
286,4.38898795780743
314,4.58859059994067
345,4.78813163922246
378,4.98767275353322
413,5.14757857120155
449,5.34713321488075
485,5.54814468564906
525,5.74772252460593
577,5.9471653243718
630,6.1467018101484
684,6.34697782887992
738,6.54924992700999
805,6.74885761628601
884,6.94293563957803
972,7.13577145168081
1068,7.32327360239696
1176,7.5105142505963
1,0.0539769240301038
5,0.0954912734643751
10,0.136170037620146
15,0.177125550034943
39,0.200360726529605
63,0.223595919705838
97,0.246830160614639
141,0.270064401473916
215,0.293135725256352
301,0.315003308060809
427,0.336870827982922
592,0.356004908688809
786,0.377742793663815
1008,0.399610314422056
1258,0.421477835180335
1540,0.443345355938614
1853,0.465212876696893
2194,0.487080397455172
2563,0.508947918213451
2946,0.53081543897173
3343,0.552682959730009
3754,0.574550480488288
4807,0.596418001246567
6501,0.615552081910061
8195,0.634686162573555
9889,0.653820243237049
11583,0.672954323900544
13277,0.692088404564038
14971,0.713955925322317
16986,0.733090005985811
19321,0.752224086649305
22051,0.771358167312799
25176,0.790492247976294
28698,0.809626328639788
32617,0.828760409303282
36932,0.847894489966776
41247,0.867028570630271
45562,0.886162651293765
50313,0.905296731957259
55499,0.924430812620753
60685,0.943564893284247
65871,0.962698973947742
71057,0.981833054611236
76756,1.00096713527473
1,0.0485816071932664
2,0.0971632143865328
3,0.146428181603495
4,0.198001994186405
5,0.250639727011946
6,0.303375558969086
14,0.3427507221923
22,0.382125885415514
31,0.427770493789916
41,0.472582316332319
65,0.502331110016237
93,0.527403450120494
123,0.552638480109884
155,0.579068136471584
190,0.604483683105091
227,0.6298992301405
266,0.654824297331749
305,0.68128139093973
344,0.713285720009157
385,0.747080467649133
428,0.781118800000324
477,0.81496022144447
532,0.846955148060135
592,0.877918253745088
652,0.911761828180086
712,0.945806581504817
779,0.973139237864382
846,1.00698136343397
918,1.04114249172833
994,1.07531033313062
1074,1.10947821936375
1157,1.1436462207057
1243,1.17781546708404
1329,1.21318818795251
1415,1.25072115196908
1504,1.28762259324125
1596,1.32348314852054
1691,1.35906703398082
1796,1.39481383646373
1911,1.43173357224757
2031,1.46863750383098
2156,1.50553928240225
2281,1.54244164034134
2406,1.5793455719248
1,0.0785401125519509
2,0.157080225103902
3,0.240403857821726
5,0.323411734815451
8,0.403009887445223
11,0.483243014801396
16,0.567729274875348
21,0.652215534949301
36,0.708221734609605
61,0.76145937345141
88,0.815147120434003
115,0.874442708028393
144,0.935185550562266
175,0.999773121185152
208,1.0656020318513
243,1.13122626497772
279,1.19743925858192
317,1.2622243441796
357,1.32419780469188
401,1.38435731641105
448,1.44584429655189
500,1.50707943983031
557,1.56305315661793
618,1.62005529672142
681,1.68569925838812
745,1.75143767578796
809,1.82484216645262
888,1.88635142298821
971,1.94786526234256
1058,2.01004473992375
1149,2.07256362546371
1251,2.13282882234011
1363,2.19569118267902
1490,2.25615269865657
1631,2.31628804649679
1787,2.37503367158818
1958,2.43243593640521
2143,2.48983817839571
2344,2.56090762086012
2561,2.63197706332491
2796,2.70304650578931
3048,2.77411594825372
3336,2.84518539071813
3660,2.91625483318253
2,0.0863235267859662
4,0.259320914597645
6,0.433053437673644
8,0.60743356433116
10,0.823996490228246
12,1.04447626750495
14,1.266067354716
16,1.48765845785146
18,1.71945599125961
20,1.9587079888829
22,2.2042233682952
24,2.45175860918418
26,2.69929661850639
28,2.96055383942664
30,3.23320992760638
32,3.52802520719327
34,3.82940129319479
36,4.14236429243307
38,4.45577067097352
40,4.76918892931681
42,5.08966612016466
44,5.41357037199803
49,5.68693205646942
57,5.94797952162135
65,6.21174776072056
73,6.48150075621278
81,6.76106585409508
89,7.04541498937696
97,7.33185988232617
105,7.64044284406774
113,7.94922658401113
128,8.22479246169461
150,8.49342836870436
179,8.74769231900121
349,8.90623183214181
659,9.05930447744976
1073,9.21237712275772
1591,9.33762155788635
2133,9.48932748314692
2699,9.64103340840748
3288,9.79273933366804
3970,9.9444452589286
4744,10.0961511841892
5518,10.2478571094497
2,0.11113920271754
4,0.224168300312723
6,0.337645008853688
8,0.451121733319061
10,0.573607918832669
12,0.704513209732631
14,0.835545717473418
16,0.967948679963523
18,1.10035356147555
20,1.23854121960986
22,1.39106401671251
24,1.57290261153289
26,1.76396759472694
28,1.96191254886108
30,2.16027072375864
32,2.35862909386589
34,2.56166811185811
36,2.76691006616224
38,3.00898313530436
40,3.25763255146318
43,3.50302403081229
47,3.74039273985518
52,3.96923935205613
57,4.19825561912298
62,4.42727926126607
67,4.6777436855319
72,4.92820824665034
77,5.18527595184219
82,5.44608063865156
87,5.70725716640722
98,5.96758554146002
115,6.22216260163182
135,6.47548572588042
158,6.72639807733116
181,6.98347885077605
204,7.24154788472176
227,7.49992269166505
273,7.7445757731988
341,7.95559151738438
409,8.16660996116961
477,8.37768053850824
560,8.58815544451053
658,8.79863033180673
770,9.00909508095426
1,0.175255883033746
2,0.353615863258706
3,0.521042083104526
4,0.688468302950346
5,0.869882656609413
6,1.07342934691632
7,1.27697603722323
8,1.4807476486798
9,1.70147969984138
10,1.9238915544283
11,2.14763854706755
12,2.37146601126261
15,2.57336635577158
22,2.74941052544541
34,2.82078853561789
48,2.88787757375873
64,2.95435783206516
83,3.03750289973804
122,3.09763858288927
215,3.15777426497454
362,3.21790994701818
559,3.27544182479193
806,3.33284406678245
1103,3.39024630877294
1502,3.42714775006808
2003,3.46404919134767
2692,3.50095063262727
3568,3.53785207390686
4503,3.57475351518646
5496,3.61165495646606
6547,3.64855639774565
7685,3.68545783902525
8909,3.72509272039963
10216,3.76472760177401
11523,3.80436248314839
13002,3.84399736452277
14653,3.88363224589715
16476,3.92053368717675
18444,3.96016856855113
20556,3.99980344992551
22712,4.03943833129989
24911,4.07907321267427
27189,4.11870809404865
29546,4.15834297542303
4,0.338992835956703
8,0.67811530769668
12,1.01760851900198
17,1.38964602151821
23,1.76251494963577
30,2.12485065731665
37,2.48720576895917
45,2.84489430743959
56,3.19224982298991
67,3.56205761731902
80,3.9305315153423
95,4.29325229257221
115,4.76083269557869
137,5.15128587684011
163,5.63439557386602
193,6.16178926370712
231,6.49255929625691
276,6.82194010441845
328,7.15131963700566
389,7.48069916843508
458,7.8100786998568
537,8.13945823127838
626,8.46883776269996
722,8.79821729412153
824,9.12759682554311
932,9.45697635696469
1057,9.78635588838627
1199,10.1157354198078
1373,10.4451149512294
1561,10.774494482651
1793,11.1038740140726
2068,11.4332535454942
2386,11.7626330769157
2736,12.0920126083373
3118,12.4213921397589
3569,12.7507716711805
4088,13.1042526899589
4681,13.4308987812856
5347,13.7575448726124
6086,14.0841909639392
6909,14.410837055266
7815,14.5461427724502
8813,14.6814480571424
9902,14.8167533418342
7,0.504311274631796
19,1.00738397955725
39,1.06750036113111
79,1.06750078048707
143,1.06750078048707
234,1.06750078048707
343,1.06750387911535
484,1.57182342233064
644,2.07614311981845
870,2.58046281730626
1156,3.08478251479407
1559,3.58910221228188
2201,4.09342190976969
3097,4.5977416072575
3993,5.10206130474531
5632,5.10206130474531
7886,5.10206130474531
10418,5.10206130474531
13018,5.10206130474531
16027,5.10206130474531
19379,5.10206130474531
23677,5.10206130474531
28391,5.10206130474531
33105,5.10206130474531
37819,5.10206130474531
42942,5.10206130474531
48411,5.10206130474531
54121,5.10206130474531
59885,5.10206130474531
66437,5.10206130474531
72989,5.10206130474531
79541,5.10206130474531
86305,5.10206130474531
93069,5.10206130474531
100415,5.10206130474531
108342,5.10206130474531
116619,5.10206130474531
125245,5.10206130474531
134220,5.10206130474531
143734,5.10206130474531
153787,5.10206130474531
164341,5.10206130474531
175395,5.10206130474531
187170,5.10206130474531
