x,sigxjminusxi
8,0.00730529509596215
16,0.0147324096828275
24,0.647824648354376
33,1.2354707482389
42,1.88983032253721
51,2.55603104407143
61,3.22043791976895
72,3.88463893756928
83,4.54883962677467
102,5.23465696552675
130,5.92047424347348
159,6.60629154845804
196,7.29210885341125
237,7.97792614854365
281,8.66374325274374
334,9.34956048395981
392,10.0353772428949
454,10.7211945479639
523,11.4070118531004
597,12.0928291582368
679,12.7786464633732
769,13.4644637685096
860,14.1502810736461
954,14.8360983787825
1051,15.5219156839189
1149,16.2077329890554
1250,16.8935502941918
1351,17.5793675993282
1451,18.2651849044647
1551,18.9510022096011
1654,19.6368195147375
1780,20.322636819874
1912,21.0084541250104
2044,21.6942714301468
2176,21.801524318777
2308,21.8304770282287
2447,21.8594297376803
2587,21.888382447132
2727,21.9173351565837
2867,21.9462878660353
3009,21.975240575487
3151,22.0041932849387
3293,22.0331459943904
3439,22.062098703842
95,2.35165021681704e-26
218,2.35168949337526e-26
368,2.35168949337526e-26
541,2.35168949337526e-26
744,2.35168949337526e-26
966,2.35168949337526e-26
1207,2.35168949337526e-26
1467,2.35168949337526e-26
1753,2.35168949337526e-26
2069,0.209907143524607
2436,0.419814287049214
2861,0.629721430573821
3331,0.839628574098428
3831,1.04953571762304
4361,1.25944286114764
5046,1.46935000467225
5754,1.67925714819686
6488,1.88916429172146
7249,2.09907143524607
8049,2.30897857877068
8891,2.51888572229529
9774,2.72879286581989
10702,2.9387000093445
11672,3.14860715286911
12670,3.35851429639371
13729,3.56842143991832
14837,3.77832858344293
15986,3.98823572696754
17176,4.19814287049214
18408,4.40805001401675
19676,4.61795715754136
20973,4.82786430106596
22331,5.03777144459057
23689,5.24767858811518
25069,5.45758573163978
26471,5.66749287516439
27905,5.877400018689
29363,6.0873071622136
30851,6.29721430573821
32361,6.50712144926282
33888,6.71702859278742
35430,6.92693573631203
36987,7.13684287983664
38559,7.34675002336124
20,0.0361908871972177
43,0.0723817740668955
74,0.108572660881198
108,0.144763547695782
147,0.180954434508142
191,0.217145321201067
246,0.253282516160776
311,0.267778653937007
380,0.282255371326402
454,0.376351679487978
532,0.470447985250662
618,0.564544290968604
707,0.658640596686532
797,0.75273690240446
888,0.846833208122387
980,0.940929513840315
1075,1.03502581955824
1173,1.12912212527617
1273,1.2232184309941
1374,1.31731473671202
1478,1.41141104242995
1584,1.50550734814788
1697,1.59960365386581
1815,1.69369995958373
1941,1.78779626530166
2074,1.88189257101959
2221,1.97598887673752
2374,2.07008518245544
2532,2.16418148817337
2694,2.2582777938913
2856,2.35237409960923
3023,2.44647040532715
3200,2.54056671104508
3377,2.63466301676301
3555,2.72875932248093
3733,2.82285562819886
3919,2.91695193391679
4108,3.01104823963472
4300,3.10514454535264
4495,3.19924085107057
4693,3.2933371567885
4892,3.38743346250643
5091,3.48152976822435
5292,3.57562607394228
792,3.99559724716203e-208
1598,4.682497300387e-192
2404,7.23698189354366e-167
3210,2.52818687107166e-147
4016,2.70174047350537e-134
4822,2.8872080895991e-121
5628,5.97204100358392e-54
6818,5.97204100358392e-54
8008,5.97204100358392e-54
9228,5.97204100358392e-54
10448,5.97204100358392e-54
11692,5.97204100358392e-54
12960,5.97204100358392e-54
14239,5.97204100358392e-54
15519,5.97204100358392e-54
16809,5.97204100358392e-54
18118,5.97204100358392e-54
19427,5.97204100358392e-54
20791,5.97204100358392e-54
22209,5.97204100358392e-54
23627,5.97204100358392e-54
25059,5.97204100358392e-54
26516,5.97204100358392e-54
28028,5.97204100358395e-54
29540,5.97204100358398e-54
31276,5.97204100358398e-54
33235,5.97204100358398e-54
35236,5.97204100358398e-54
37541,5.97204100358398e-54
39963,5.97204100358398e-54
42564,5.97204100358398e-54
45317,5.97204100358398e-54
48151,5.97204100358398e-54
51065,5.97204100358398e-54
54368,5.97204100358398e-54
57828,5.97204100358398e-54
61466,5.97204100358398e-54
65265,5.97204100358398e-54
69236,5.97204100358398e-54
73362,5.97204100358398e-54
77642,5.97204100358398e-54
82051,5.97204100358398e-54
86611,5.97204100358398e-54
91309,5.97204100358398e-54
