x,sigxjminusxi
1,0.0254677979775683
2,0.051326240114967
5,0.0770830436357541
11,0.102499043087804
22,0.126769108649691
48,0.15005551367278
82,0.174448546266436
125,0.198841578990163
175,0.223234611713889
225,0.247627644437619
283,0.272020677161347
352,0.296413709885073
437,0.320806742608811
540,0.345199775332537
674,0.371915954028189
830,0.398632132725603
1001,0.425348311423017
1181,0.452064490120431
1401,0.478780668817846
1651,0.50549684751526
1981,0.532213026212674
2390,0.558929204910088
2863,0.585645383607502
3431,0.612361562304916
4019,0.63907774100233
4667,0.665793919699744
5404,0.692510098397158
6206,0.719226277094572
7096,0.745942455791986
8059,0.7726586344894
9079,0.799374813186814
10165,0.826090991884228
11300,0.852807170581642
12520,0.879523349279056
13839,0.90623952797647
15203,0.932955706673884
16620,0.959671885371298
18106,0.986388064068712
19668,1.01310424276613
21254,1.03982042146354
22870,1.06653660016095
24518,1.09325277885837
26193,1.11996895755578
27882,1.1466851362532
1,0.606399036881542
3,1.2257250115219
7,1.84232610485293
14,2.4191519974824
21,2.99703123301857
40,3.54791593165128
59,4.1041647512786
88,4.65749848856484
117,5.24425847225294
156,5.83082646588131
212,6.41582540383924
286,6.99993941207083
383,7.58578551798276
502,8.16889526840473
648,8.74852900680367
843,9.33100608178435
1102,9.9117925752064
1403,10.4925790686285
1762,11.0745271359903
2120,11.6738987972019
2606,12.2713162860935
3148,12.8673162777007
3690,13.4666879389123
4311,14.0648980316484
4972,14.6631158941079
5662,15.2636491283039
6416,15.8676670814628
7385,16.4693618885918
8354,17.0733798416094
9429,17.6623051201742
10610,18.2512230140378
11860,18.8413020913546
13233,19.4313811686714
14606,20.0214602459882
16029,20.611539323305
17480,21.201673489235
19047,21.7917525665521
20614,22.3829932168557
22346,22.9719107211874
24216,23.5608282254997
26086,24.1497457298297
28082,24.7386632341596
30479,25.325257592515
33041,25.9106903778844
1,0.0323711859911342
2,0.0651195031487585
3,0.0986215671376732
4,0.132123658887347
5,0.166602975202873
6,0.202385121565151
9,0.238143268550613
14,0.272249795105617
26,0.304485264619562
38,0.337054530180522
55,0.369910550060177
72,0.404938254869939
91,0.44226875012583
111,0.479648100164824
131,0.519701504416313
151,0.560624984636899
175,0.602428494762102
201,0.64535176603587
238,0.687168783128804
286,0.728985553638899
340,0.771825291258048
400,0.814803506559897
474,0.864751144994507
561,0.914698783464316
651,0.96466197824489
790,1.01460961474742
991,1.06223410720803
1221,1.10985859966864
1485,1.15748309239068
1787,1.20743073082498
2154,1.25474282819548
2563,1.30124753227819
3017,1.35003359579388
3528,1.39881966124133
4112,1.44760572668878
4828,1.49058967146655
5675,1.53240630612984
6661,1.57652518738238
7832,1.61950338789561
9083,1.66364316139569
10403,1.70778293489576
11826,1.75192270839584
13294,1.79606248193129
14866,1.84020226970518
1,0.0113803937633431
3,0.0250144822630909
5,0.0386827670977383
7,0.0536165009966177
9,0.0694071875069517
12,0.0835765123199747
27,0.0939887610409429
42,0.104464514514057
62,0.114918663344896
95,0.124346838002558
135,0.133777883825665
199,0.141929787077289
274,0.150641974012273
373,0.158773037655513
487,0.167484835056845
633,0.176777418951595
785,0.186070002848742
965,0.195362586743495
1172,0.204655170638248
1394,0.213947754533
1640,0.223240338427753
1901,0.232532922322506
2183,0.241825506217259
2471,0.251118090112011
2773,0.260410674006764
3091,0.269703257901517
3436,0.278995841796269
3800,0.288288425691022
4184,0.297581009585775
4598,0.306873593480528
5041,0.322959600549179
5484,0.3391000272617
5968,0.365808798191915
6465,0.393686549876173
6962,0.421564301560431
7490,0.449442053244689
8032,0.477319804928947
8578,0.505197556613205
9135,0.533075308297463
9700,0.560953059981721
10276,0.588830811665979
10857,0.616708563350237
11457,0.644586315034495
12066,0.672464066718754
3,0.0201426357551581
9,0.0361580366682581
15,0.054211824244255
22,0.0730553207713935
29,0.0976696309279634
40,0.116507685646275
56,0.134046497534931
75,0.157119858462175
98,0.180348629591541
125,0.204687942236714
178,0.231404837574006
271,0.248819836984125
403,0.262758712823866
540,0.276697588719067
681,0.290636522760958
833,0.3138681196924
985,0.340584139149662
1146,0.367300314807938
1341,0.381324707237696
1545,0.395264434950718
1750,0.427334197721385
1955,0.459857521796347
2169,0.49238039673857
2383,0.524904418959263
2670,0.548135878696145
2983,0.571367338433027
3361,0.594598798169909
3739,0.61783025790679
4147,0.641061717643672
4713,0.663128488124488
5279,0.685198374874526
5915,0.706152784236335
6551,0.727114967832658
7192,0.749184833578119
7833,0.771254720328154
8667,0.782870450196595
9709,0.794486180065036
10751,0.806101909933477
11793,0.817717639801918
12947,0.829333369670359
14101,0.840949099538799
15380,0.85256482940724
16659,0.864180559275681
18209,0.875796289144122
1,0.0293727732863238
2,0.0587586646398256
3,0.0906194193950649
4,0.130225603601221
5,0.172647998266089
6,0.218774773234252
11,0.253578932094471
17,0.290488425386752
26,0.325325486287037
35,0.367632849393859
49,0.412124390188866
63,0.457519117785513
88,0.492587396007422
161,0.514658333150082
241,0.544866986644622
337,0.575067454308031
438,0.605268404645843
539,0.635469383584356
704,0.654054569752946
872,0.672648354854273
1051,0.69245777167546
1241,0.722023463718985
1435,0.752448590894641
1653,0.772196966384084
1898,0.791943707160452
2159,0.811690447936802
2482,0.831437188713152
2831,0.851183929489501
3215,0.87093067026585
3659,0.883883987868302
4103,0.896837305470753
4636,0.90729146235235
5210,0.917748345969515
5836,0.928202502851112
6474,0.939625899991925
7112,0.951049297132739
7766,0.961503472393057
8454,0.971957629274654
9255,0.990542797064159
10102,1.00912796485366
10949,1.02771313264317
11865,1.04513672744583
12817,1.06256032224849
13821,1.07998391705163
1,0.018853147361606
2,0.037706316875628
4,0.0560229495378578
7,0.0746077276494453
10,0.0937184499802235
17,0.111467557931138
27,0.128774640334638
37,0.146217313500047
47,0.163659986665455
65,0.181028342148377
92,0.197311255868874
119,0.213885672402729
193,0.226662975258372
291,0.239440278113657
411,0.252217580968942
555,0.264994883824227
739,0.277772186679512
992,0.28938791690328
1270,0.301003646771765
1612,0.312619376640206
2022,0.324235106508647
2460,0.335788642498379
2951,0.338120254491723
3480,0.340443400465411
4009,0.3427665464391
4579,0.345089692412788
5163,0.347412838386476
5747,0.349735984360164
6374,0.352059130333852
7013,0.354382276307541
7661,0.356705422282109
8309,0.360190141194553
8966,0.363674470621433
9628,0.367159189581965
10299,0.370643908542497
10980,0.37412862750303
11664,0.377613346463562
12360,0.381098065424094
13061,0.384582784384627
13770,0.388067503345159
14483,0.391552222305691
15202,0.395036941266223
15930,0.398521660226756
16666,0.402006379187288
